dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.000000,0.000000,0.000263,0.026316,1.315789,65.789474,2.092892
0.020000,11.000000,0.000000,0.001316,0.078947,2.631579,65.789474,2.092998
0.020000,11.000000,0.000000,0.003684,0.157895,3.947368,65.789474,2.093237
0.020000,11.000000,0.000000,0.007895,0.263158,5.263158,65.789474,2.093662
0.020000,11.000000,0.000000,0.014474,0.394737,6.578947,65.789474,2.094326
0.020000,10.995663,0.007504,0.023947,0.552632,7.894737,65.789474,2.095284
0.020000,10.989331,0.018433,0.036579,0.710526,7.894737,-0.000000,2.096563
0.020000,10.981395,0.032084,0.052368,0.868421,7.894737,0.000000,2.098166
0.020000,10.971844,0.048447,0.071316,1.026316,7.894737,0.000000,2.100095
0.020000,10.960662,0.067514,0.093421,1.184211,7.894737,-0.000000,2.102355
0.020000,10.947828,0.089275,0.118684,1.342105,7.894737,0.000000,2.104948
0.020000,10.933322,0.113717,0.147105,1.500000,7.894737,0.000000,2.107880
0.020000,10.917121,0.140823,0.178684,1.657895,7.894737,0.000000,2.111156
0.020000,10.899198,0.170577,0.213421,1.815789,7.894737,0.000000,2.114781
0.020000,10.879520,0.202964,0.251316,1.973684,7.894737,-0.000000,2.118761
0.020000,10.858058,0.237959,0.292368,2.131579,7.894737,0.000000,2.123103
0.020000,10.834774,0.275542,0.336579,2.289474,7.894737,-0.000000,2.127815
0.020000,10.809631,0.315686,0.383947,2.447368,7.894737,0.000000,2.132905
0.020000,10.782586,0.358363,0.434474,2.605263,7.894737,0.000000,2.138381
0.020000,10.753592,0.403546,0.488158,2.763158,7.894737,0.000000,2.144252
0.020000,10.722603,0.451198,0.545000,2.921053,7.894737,0.000000,2.150529
0.020000,10.689568,0.501284,0.605000,3.078947,7.894737,0.000000,2.157221
0.020000,10.654431,0.553764,0.668158,3.236842,7.894737,-0.000000,2.164340
0.020000,10.617133,0.608598,0.734474,3.394737,7.894737,0.000000,2.171896
0.020000,10.577614,0.665737,0.803947,3.552632,7.894737,0.000000,2.179902
0.020000,10.535808,0.725130,0.876579,3.710526,7.894737,-0.000000,2.188370
0.020000,10.491646,0.786723,0.952368,3.868421,7.894737,0.000000,2.197313
0.020000,10.445057,0.850458,1.031316,4.026316,7.894737,0.000000,2.206743
0.020000,10.395965,0.916269,1.113421,4.184211,7.894737,0.000000,2.216675
0.020000,10.344291,0.984089,1.198684,4.342105,7.894737,0.000000,2.227121
0.020000,10.289954,1.053843,1.287105,4.500000,7.894737,0.000000,2.238094
0.020000,10.232866,1.125451,1.378684,4.657895,7.894737,0.000000,2.249609
0.020000,10.172941,1.198826,1.473421,4.815789,7.894737,0.000000,2.261679
0.020000,10.110087,1.273877,1.571316,4.973684,7.894737,0.000000,2.274315
0.020000,10.044210,1.350503,1.672368,5.131579,7.894737,0.000000,2.287530
0.020000,9.975213,1.428598,1.776579,5.289474,7.894737,0.000000,2.301334
0.020000,9.902997,1.508051,1.883947,5.447368,7.894737,0.000000,2.315738
0.020000,9.827462,1.588738,1.994474,5.605263,7.894737,0.000000,2.330749
0.020000,9.748691,1.670342,2.107895,5.736842,6.578947,-65.789474,2.346338
0.020000,9.666966,1.752366,2.223684,5.842105,5.263158,-65.789474,2.362432
0.020000,9.582593,1.834329,2.341316,5.921053,3.947368,-65.789474,2.378957
0.020000,9.495904,1.915773,2.460263,5.973684,2.631579,-65.789474,2.395830
0.020000,9.407258,1.996262,2.580000,6.000000,1.315789,-65.789474,2.412965
0.020000,9.317041,2.075386,2.700000,6.000000,0.000000,-65.789474,2.430269
0.020000,9.225464,2.152932,2.820000,6.000000,0.000000,0.000000,2.447687
0.020000,9.132548,2.228865,2.940000,6.000000,0.000000,0.000000,2.465199
0.020000,9.038312,2.303158,3.060000,6.000000,0.000000,0.000000,2.482784
0.020000,8.942783,2.375779,3.180000,6.000000,0.000000,0.000000,2.500420
0.020000,8.845987,2.446702,3.300000,6.000000,0.000000,0.000000,2.518085
0.020000,8.747952,2.515904,3.420000,6.000000,0.000000,0.000000,2.535756
0.020000,8.648711,2.583363,3.540000,6.000000,0.000000,0.000000,2.553411
0.020000,8.548296,2.649062,3.660000,6.000000,0.000000,0.000000,2.571027
0.020000,8.446740,2.712984,3.780000,6.000000,0.000000,0.000000,2.588580
0.020000,8.344081,2.775119,3.900000,6.000000,0.000000,0.000000,2.606047
0.020000,8.240355,2.835456,4.020000,6.000000,0.000000,0.000000,2.623407
0.020000,8.135601,2.893990,4.140000,6.000000,0.000000,0.000000,2.640638
0.020000,8.029859,2.950719,4.260000,6.000000,0.000000,0.000000,2.657717
0.020000,7.923167,3.005642,4.380000,6.000000,0.000000,0.000000,2.674624
0.020000,7.815568,3.058764,4.500000,6.000000,0.000000,0.000000,2.691341
0.020000,7.707100,3.110091,4.620000,6.000000,0.000000,0.000000,2.707848
0.020000,7.597805,3.159633,4.740000,6.000000,0.000000,0.000000,2.724128
0.020000,7.487725,3.207402,4.860000,6.000000,0.000000,0.000000,2.740165
0.020000,7.376898,3.253415,4.980000,6.000000,0.000000,0.000000,2.755943
0.020000,7.265365,3.297687,5.100000,6.000000,0.000000,0.000000,2.771449
0.020000,7.153165,3.340242,5.220000,6.000000,0.000000,0.000000,2.786671
0.020000,7.040336,3.381100,5.340000,6.000000,0.000000,0.000000,2.801596
0.020000,6.926916,3.420286,5.460000,6.000000,0.000000,0.000000,2.816216
0.020000,6.812941,3.457828,5.580000,6.000000,0.000000,0.000000,2.830522
