dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000256,0.025641,1.282051,64.102564,0.000000
0.020000,0.000000,0.000000,0.001282,0.076923,2.564103,64.102564,0.000000
0.020000,0.001590,0.000000,0.003590,0.153846,3.846154,64.102564,0.000000
0.020000,0.005692,0.000000,0.007692,0.256410,5.128205,64.102564,0.000000
0.020000,0.012103,0.000000,0.014103,0.384615,6.410256,64.102564,0.000000
0.020000,0.021333,0.000000,0.023333,0.538462,7.692308,64.102564,0.000000
0.020000,0.033641,0.000000,0.035641,0.692308,7.692308,0.000000,0.000000
0.020000,0.049026,0.000000,0.051026,0.846154,7.692308,-0.000000,0.000000
0.020000,0.067487,0.000000,0.069487,1.000000,7.692308,0.000000,0.000000
0.020000,0.089026,0.000000,0.091026,1.153846,7.692308,0.000000,0.000000
0.020000,0.113641,0.000000,0.115641,1.307692,7.692308,-0.000000,0.000000
0.020000,0.141333,0.000000,0.143333,1.461538,7.692308,0.000000,0.000000
0.020000,0.172103,0.000000,0.174103,1.615385,7.692308,-0.000000,0.000000
0.020000,0.205692,0.000000,0.207692,1.743590,6.410256,-64.102564,0.000000
0.020000,0.241590,0.000000,0.243590,1.846154,5.128205,-64.102564,0.000000
0.020000,0.279282,0.000000,0.281282,1.923077,3.846154,-64.102564,0.000000
0.020000,0.318256,0.000000,0.320256,1.974359,2.564103,-64.102564,0.000000
0.020000,0.358000,0.000000,0.360000,2.000000,1.282051,-64.102564,0.000000
0.020000,0.398000,0.000000,0.400000,2.000000,0.000000,-64.102564,0.000000
0.020000,0.438000,0.000000,0.440000,2.000000,0.000000,0.000000,0.000000
0.020000,0.478000,0.000000,0.480000,2.000000,0.000000,0.000000,0.000000
0.020000,0.518000,0.000000,0.520000,2.000000,0.000000,0.000000,0.000000
0.020000,0.558000,0.000000,0.560000,2.000000,0.000000,0.000000,0.000000
0.020000,0.598000,0.000000,0.600000,2.000000,0.000000,0.000000,0.000000
0.020000,0.638000,0.000000,0.640000,2.000000,0.000000,0.000000,0.000000
0.020000,0.678000,0.000000,0.680000,2.000000,0.000000,0.000000,0.000000
0.020000,0.718000,0.000000,0.720000,2.000000,0.000000,0.000000,0.000000
0.020000,0.758000,0.000000,0.760000,2.000000,0.000000,0.000000,0.000000
0.020000,0.798000,0.000000,0.800000,2.000000,0.000000,0.000000,0.000000
0.020000,0.838000,0.000000,0.840000,2.000000,0.000000,0.000000,0.000000
0.020000,0.878000,0.000000,0.880000,2.000000,0.000000,0.000000,0.000000
0.020000,0.918000,0.000000,0.920000,2.000000,0.000000,0.000000,0.000000
0.020000,0.958000,0.000000,0.960000,2.000000,0.000000,0.000000,0.000000
0.020000,0.998000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000
0.020000,1.038000,0.000000,1.040000,2.000000,0.000000,0.000000,0.000000
0.020000,1.078000,0.000000,1.080000,2.000000,0.000000,0.000000,0.000000
0.020000,1.118000,0.000000,1.120000,2.000000,0.000000,0.000000,0.000000
0.020000,1.158000,0.000000,1.160000,2.000000,0.000000,0.000000,0.000000
0.020000,1.198000,0.000000,1.200000,2.000000,0.000000,0.000000,0.000000
0.020000,1.238000,0.000000,1.240000,2.000000,0.000000,0.000000,0.000000
0.020000,1.278000,0.000000,1.280000,2.000000,0.000000,0.000000,0.000000
0.020000,1.318000,0.000000,1.320000,2.000000,0.000000,0.000000,0.000000
0.020000,1.358000,0.000000,1.360000,2.000000,0.000000,0.000000,0.000000
0.020000,1.398000,0.000000,1.400000,2.000000,0.000000,0.000000,0.000000
0.020000,1.438000,0.000000,1.440000,2.000000,0.000000,0.000000,0.000000
0.020000,1.478000,0.000000,1.480000,2.000000,0.000000,0.000000,0.000000
0.020000,1.518000,0.000000,1.520000,2.000000,0.000000,0.000000,0.000000
0.020000,1.558000,0.000000,1.560000,2.000000,0.000000,0.000000,0.000000
0.020000,1.598000,0.000000,1.600000,2.000000,0.000000,0.000000,0.000000
0.020000,1.638000,0.000000,1.640000,2.000000,0.000000,0.000000,0.000000
0.020000,1.677756,0.000000,1.679756,1.975641,-1.217949,-60.897436,0.000000
0.020000,1.716769,0.000000,1.718769,1.925641,-2.500000,-64.102564,0.000000
0.020000,1.754526,0.000000,1.756526,1.850000,-3.782051,-64.102564,0.000000
0.020000,1.790513,0.000000,1.792513,1.748718,-5.064103,-64.102564,0.000000
0.020000,1.824218,0.000000,1.826218,1.621795,-6.346154,-64.102564,0.000000
0.020000,1.855128,0.000000,1.857128,1.469231,-7.628205,-64.102564,0.000000
0.020000,1.882974,0.000000,1.884974,1.315385,-7.692308,-3.205128,0.000000
0.020000,1.907744,0.000000,1.909744,1.161538,-7.692308,-0.000000,0.000000
0.020000,1.929436,0.000000,1.931436,1.007692,-7.692308,0.000000,0.000000
0.020000,1.948051,0.000000,1.950051,0.853846,-7.692308,-0.000000,0.000000
0.020000,1.963590,0.000000,1.965590,0.700000,-7.692308,-0.000000,0.000000
0.020000,1.976051,0.000000,1.978051,0.546154,-7.692308,0.000000,0.000000
0.020000,1.985436,0.000000,1.987436,0.392308,-7.692308,-0.000000,0.000000
0.020000,1.991987,0.000000,1.993987,0.262821,-6.474359,60.897436,0.000000
0.020000,1.996205,0.000000,1.998205,0.158974,-5.192308,64.102564,0.000000
0.020000,1.998603,0.000000,2.000603,0.080769,-3.910256,64.102564,0.000000
0.020000,1.999692,0.000000,2.001692,0.028205,-2.628205,64.102564,0.000000
0.020000,1.999987,0.000000,2.001987,0.001282,-1.346154,64.102564,0.000000
0.020000,2.000000,0.000000,2.002000,0.000000,-0.064103,64.102564,0.000000
0.020000,2.000000,0.000000,2.002000,0.000000,0.000000,3.205128,0.000000
