dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000267,0.026667,1.333333,66.666667,6.280252
0.020000,0.000000,0.000000,0.001333,0.080000,2.666667,66.666667,6.280382
0.020000,0.000000,0.000000,0.003733,0.160000,4.000000,66.666667,6.280675
0.020000,0.000000,0.000000,0.008000,0.266667,5.333333,66.666667,6.281197
0.020000,0.000000,0.000000,0.014667,0.400000,6.666667,66.666667,6.282013
0.020000,0.000032,0.000000,0.024267,0.560000,8.000000,66.666667,0.000004
0.020000,0.012840,0.000010,0.037067,0.720000,8.000000,0.000000,0.001576
0.020000,0.028837,0.000051,0.053067,0.880000,8.000000,-0.000000,0.003547
0.020000,0.048032,0.000142,0.072267,1.040000,8.000000,0.000000,0.005922
0.020000,0.070433,0.000306,0.094667,1.200000,8.000000,-0.000000,0.008707
0.020000,0.096030,0.000570,0.120267,1.360000,8.000000,0.000000,0.011907
0.020000,0.124831,0.000965,0.149067,1.520000,8.000000,-0.000000,0.015532
0.020000,0.156829,0.001527,0.181067,1.680000,8.000000,0.000000,0.019587
0.020000,0.192013,0.002295,0.216267,1.840000,8.000000,-0.000000,0.024083
0.020000,0.230407,0.003314,0.254667,2.000000,8.000000,0.000000,0.029031
0.020000,0.271986,0.004634,0.296267,2.160000,8.000000,0.000000,0.034440
0.020000,0.316753,0.006308,0.341067,2.320000,8.000000,-0.000000,0.040324
0.020000,0.364708,0.008396,0.389067,2.480000,8.000000,0.000000,0.046695
0.020000,0.415844,0.010961,0.440267,2.640000,8.000000,0.000000,0.053569
0.020000,0.470150,0.014074,0.494667,2.800000,8.000000,0.000000,0.060959
0.020000,0.527633,0.017811,0.552267,2.960000,8.000000,0.000000,0.068885
0.020000,0.588265,0.022252,0.613067,3.120000,8.000000,-0.000000,0.077360
0.020000,0.652052,0.027486,0.677067,3.280000,8.000000,0.000000,0.086405
0.020000,0.718972,0.033606,0.744267,3.440000,8.000000,0.000000,0.096039
0.020000,0.789010,0.040715,0.814667,3.600000,8.000000,0.000000,0.106281
0.020000,0.862155,0.048920,0.888267,3.760000,8.000000,-0.000000,0.117154
0.020000,0.938374,0.058334,0.965067,3.920000,8.000000,0.000000,0.128676
0.020000,1.017650,0.069082,1.045067,4.080000,8.000000,0.000000,0.140870
0.020000,1.099947,0.081293,1.128267,4.240000,8.000000,0.000000,0.153759
0.020000,1.185236,0.095104,1.214667,4.400000,8.000000,-0.000000,0.167363
0.020000,1.273474,0.110661,1.304267,4.560000,8.000000,0.000000,0.181705
0.020000,1.364613,0.128117,1.397067,4.720000,8.000000,0.000000,0.196805
0.020000,1.458611,0.147634,1.493067,4.880000,8.000000,0.000000,0.212683
0.020000,1.555395,0.169378,1.592267,5.040000,8.000000,0.000000,0.229356
0.020000,1.654905,0.193527,1.694667,5.200000,8.000000,0.000000,0.246840
0.020000,1.757064,0.220263,1.800267,5.360000,8.000000,-0.000000,0.265147
0.020000,1.861782,0.249774,1.909067,5.520000,8.000000,0.000000,0.284285
