dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.800000,12.000000,0.000260,0.026042,1.302083,65.104167,3.140177
0.020000,13.800000,12.000000,0.001302,0.078125,2.604167,65.104167,3.140289
0.020000,13.800000,12.000000,0.003646,0.156250,3.906250,65.104167,3.140542
0.020000,13.800000,12.000000,0.007813,0.260417,5.208333,65.104167,3.140991
0.020000,13.799057,12.000000,0.014323,0.390625,6.510417,65.104167,3.141695
0.020000,13.789681,11.999994,0.023698,0.546875,7.812500,65.104167,3.142711
0.020000,13.777180,11.999972,0.036198,0.703125,7.812500,0.000000,3.144072
0.020000,13.761557,11.999920,0.051823,0.859375,7.812500,0.000000,3.145783
0.020000,13.742806,11.999822,0.070573,1.015625,7.812500,0.000000,3.147853
0.020000,13.720934,11.999658,0.092448,1.171875,7.812500,0.000000,3.150288
0.020000,13.695934,11.999406,0.117448,1.328125,7.812500,0.000000,3.153101
0.020000,13.667813,11.999037,0.145573,1.484375,7.812500,0.000000,3.156302
0.020000,13.636564,11.998521,0.176823,1.640625,7.812500,0.000000,3.159907
0.020000,13.602199,11.997823,0.211198,1.796875,7.812500,0.000000,3.163929
0.020000,13.564710,11.996902,0.248698,1.953125,7.812500,0.000000,3.168390
0.020000,13.524102,11.995714,0.289323,2.109375,7.812500,0.000000,3.173308
0.020000,13.480376,11.994209,0.333073,2.265625,7.812500,0.000000,3.178707
0.020000,13.433539,11.992332,0.379948,2.421875,7.812500,0.000000,3.184612
0.020000,13.383593,11.990021,0.429948,2.578125,7.812500,0.000000,3.191054
0.020000,13.330542,11.987209,0.483073,2.734375,7.812500,0.000000,3.198066
0.020000,13.274395,11.983822,0.539323,2.890625,7.812500,0.000000,3.205682
0.020000,13.215159,11.979775,0.598698,3.046875,7.812500,0.000000,3.213945
0.020000,13.152842,11.974979,0.661198,3.203125,7.812500,0.000000,3.222902
0.020000,13.087463,11.969334,0.726823,3.359375,7.812500,0.000000,3.232601
0.020000,13.019030,11.962728,0.795573,3.515625,7.812500,0.000000,3.243102
0.020000,12.947569,11.955041,0.867448,3.671875,7.812500,0.000000,3.254468
0.020000,12.873098,11.946138,0.942448,3.828125,7.812500,0.000000,3.266771
0.020000,12.795651,11.935872,1.020573,3.984375,7.812500,0.000000,3.280089
0.020000,12.715264,11.924079,1.101823,4.140625,7.812500,0.000000,3.294513
0.020000,12.631977,11.910580,1.186198,4.296875,7.812500,0.000000,3.310143
0.020000,12.545843,11.895177,1.273698,4.453125,7.812500,0.000000,3.327088
0.020000,12.456932,11.877652,1.364323,4.609375,7.812500,0.000000,3.345472
0.020000,12.365570,11.857820,1.457812,4.739583,6.510417,-65.104167,3.365375
0.020000,12.272360,11.835561,1.553646,4.843750,5.208333,-65.104167,3.386819
0.020000,12.177904,11.810775,1.651302,4.921875,3.906250,-65.104167,3.409811
0.020000,12.082812,11.783392,1.750260,4.973958,2.604167,-65.104167,3.434344
0.020000,11.987699,11.753379,1.850000,5.000000,1.302083,-65.104167,3.460385
0.020000,11.893176,11.720747,1.950000,5.000000,0.000000,-65.104167,3.487872
0.020000,11.799613,11.685464,2.050000,5.000000,0.000000,0.000000,3.516784
0.020000,11.707133,11.647422,2.150000,5.000000,0.000000,0.000000,3.547160
0.020000,11.615885,11.606523,2.250000,5.000000,0.000000,0.000000,3.579016
0.020000,11.526019,11.562671,2.350000,5.000000,0.000000,0.000000,3.612358
0.020000,11.437697,11.515783,2.450000,5.000000,0.000000,0.000000,3.647165
0.020000,11.351098,11.465789,2.550000,5.000000,0.000000,0.000000,3.683389
0.020000,11.266403,11.412633,2.650000,5.000000,0.000000,0.000000,3.720953
0.020000,11.183799,11.356283,2.750000,5.000000,0.000000,0.000000,3.759748
0.020000,11.103476,11.296727,2.850000,5.000000,0.000000,0.000000,3.799627
0.020000,11.025622,11.233980,2.950000,5.000000,0.000000,0.000000,3.840411
0.020000,10.950415,11.168084,3.050000,5.000000,0.000000,0.000000,3.881889
0.020000,10.878022,11.099107,3.150000,5.000000,0.000000,0.000000,3.923824
0.020000,10.808593,11.027148,3.250000,5.000000,0.000000,0.000000,3.965958
0.020000,10.742256,10.952329,3.350000,5.000000,0.000000,0.000000,4.008025
0.020000,10.679112,10.874795,3.450000,5.000000,0.000000,0.000000,4.049756
0.020000,10.619237,10.794711,3.550000,5.000000,0.000000,0.000000,4.090893
0.020000,10.562672,10.712255,3.650000,5.000000,0.000000,0.000000,4.131197
0.020000,10.509432,10.627613,3.750000,5.000000,0.000000,0.000000,4.170455
0.020000,10.459504,10.540977,3.850000,5.000000,0.000000,0.000000,4.208483
0.020000,10.412845,10.452536,3.950000,5.000000,0.000000,0.000000,4.245135
0.020000,10.369392,10.362476,4.050000,5.000000,0.000000,0.000000,4.280298
0.020000,10.329060,10.270975,4.150000,5.000000,0.000000,0.000000,4.313893
0.020000,10.291750,10.178201,4.250000,5.000000,0.000000,0.000000,4.345871
0.020000,10.257347,10.084309,4.350000,5.000000,0.000000,0.000000,4.376212
0.020000,10.225732,9.989442,4.450000,5.000000,0.000000,0.000000,4.404919
0.020000,10.196774,9.893730,4.550000,5.000000,0.000000,0.000000,4.432011
0.020000,10.170344,9.797288,4.650000,5.000000,0.000000,0.000000,4.457525
0.020000,10.146307,9.700223,4.750000,5.000000,0.000000,0.000000,4.481507
0.020000,10.124533,9.602624,4.850000,5.000000,0.000000,0.000000,4.504013
0.020000,10.104890,9.504574,4.950000,5.000000,0.000000,0.000000,4.525101
0.020000,10.087252,9.406144,5.050000,5.000000,0.000000,0.000000,4.544833
0.020000,10.071495,9.307394,5.150000,5.000000,0.000000,0.000000,4.563274
0.020000,10.057500,9.208380,5.250000,5.000000,0.000000,0.000000,4.580485
0.020000,10.045153,9.109146,5.350000,5.000000,0.000000,0.000000,4.596528
0.020000,10.034344,9.009733,5.450000,5.000000,0.000000,0.000000,4.611462
0.020000,10.024968,8.910174,5.550000,5.000000,0.000000,0.000000,4.625344
0.020000,10.016924,8.810499,5.650000,5.000000,0.000000,0.000000,4.638227
0.020000,10.010118,8.710731,5.750000,5.000000,0.000000,0.000000,4.650160
0.020000,10.004457,8.610892,5.850000,5.000000,0.000000,0.000000,4.661192
0.020000,9.999854,8.510998,5.950000,5.000000,0.000000,0.000000,4.671364
0.020000,9.996227,8.411065,6.050000,5.000000,0.000000,0.000000,4.680717
0.020000,9.993495,8.311102,6.150000,5.000000,0.000000,0.000000,4.689288
0.020000,9.991582,8.211121,6.250000,5.000000,0.000000,0.000000,4.697110
0.020000,9.990416,8.111128,6.350000,5.000000,0.000000,0.000000,4.704213
0.020000,9.989924,8.011129,6.450000,5.000000,0.000000,0.000000,4.710626
0.020000,9.990041,7.911129,6.550000,5.000000,0.000000,0.000000,4.716371
0.020000,9.990699,7.811132,6.650000,5.000000,0.000000,0.000000,4.721473
0.020000,9.991837,7.711138,6.750000,5.000000,0.000000,0.000000,4.725949
0.020000,9.993391,7.611150,6.850000,5.000000,0.000000,0.000000,4.729817
0.020000,9.995302,7.511168,6.950000,5.000000,0.000000,0.000000,4.733091
0.020000,9.997512,7.411193,7.050000,5.000000,0.000000,0.000000,4.735784
0.020000,9.999962,7.311223,7.150000,5.000000,0.000000,0.000000,4.737906
0.020000,10.002596,7.211257,7.250000,5.000000,0.000000,0.000000,4.739464
0.020000,10.005358,7.111296,7.350000,5.000000,0.000000,0.000000,4.740464
0.020000,10.008192,7.011336,7.450000,5.000000,0.000000,0.000000,4.740910
0.020000,10.011042,6.911376,7.550000,5.000000,0.000000,0.000000,4.740803
0.020000,10.013855,6.811416,7.650000,5.000000,0.000000,0.000000,4.740144
0.020000,10.016574,6.711453,7.750000,5.000000,0.000000,0.000000,4.738930
0.020000,10.019144,6.611486,7.850000,5.000000,0.000000,0.000000,4.737155
0.020000,10.021508,6.511514,7.950000,5.000000,0.000000,0.000000,4.734815
0.020000,10.023610,6.411536,8.050000,5.000000,0.000000,0.000000,4.731899
0.020000,10.025390,6.311552,8.150000,5.000000,0.000000,0.000000,4.728398
0.020000,10.026791,6.211561,8.250000,5.000000,0.000000,0.000000,4.724297
0.020000,10.027752,6.111566,8.350000,5.000000,0.000000,0.000000,4.719582
0.020000,10.028209,6.011567,8.450000,5.000000,0.000000,0.000000,4.714235
0.020000,10.028142,5.919926,8.550000,5.000000,0.000000,0.000000,4.709196
0.020000,10.027575,5.819928,8.650000,5.000000,0.000000,0.000000,4.704347
0.020000,10.026554,5.719933,8.750000,5.000000,0.000000,0.000000,4.700113
0.020000,10.025140,5.619943,8.850000,5.000000,0.000000,0.000000,4.696477
0.020000,10.023392,5.519959,8.950000,5.000000,0.000000,0.000000,4.693427
0.020000,10.021367,5.419979,9.050000,5.000000,0.000000,0.000000,4.690950
0.020000,10.019123,5.320004,9.150000,5.000000,0.000000,0.000000,4.689038
0.020000,10.016716,5.220033,9.250000,5.000000,0.000000,0.000000,4.687683
0.020000,10.014201,5.120065,9.350000,5.000000,0.000000,0.000000,4.686880
0.020000,10.011633,5.020098,9.450000,5.000000,0.000000,0.000000,4.686628
0.020000,10.009067,4.920131,9.550000,5.000000,0.000000,0.000000,4.686924
0.020000,10.006559,4.820162,9.650000,5.000000,0.000000,0.000000,4.687769
0.020000,10.004162,4.720191,9.750000,5.000000,0.000000,0.000000,4.689168
0.020000,10.001933,4.620215,9.850000,5.000000,0.000000,0.000000,4.691125
0.020000,9.999929,4.520236,9.950000,5.000000,0.000000,0.000000,4.693646
0.020000,9.998204,4.420250,10.050000,5.000000,0.000000,0.000000,4.696743
0.020000,9.996819,4.320260,10.150000,5.000000,0.000000,0.000000,4.700425
0.020000,9.995832,4.220265,10.250000,5.000000,0.000000,0.000000,4.704707
0.020000,9.995303,4.120267,10.350000,5.000000,0.000000,0.000000,4.709605
0.020000,9.995296,4.020267,10.450000,5.000000,0.000000,0.000000,4.715137
0.020000,9.995874,3.920268,10.550000,5.000000,0.000000,0.000000,4.721324
0.020000,9.997105,3.820276,10.650000,5.000000,0.000000,0.000000,4.728190
0.020000,9.999058,3.720295,10.750000,5.000000,0.000000,0.000000,4.735761
0.020000,10.001804,3.620333,10.850000,5.000000,0.000000,0.000000,4.744067
0.020000,10.005418,3.520399,10.950000,5.000000,0.000000,0.000000,4.753139
0.020000,10.009978,3.420503,11.050000,5.000000,0.000000,0.000000,4.763013
0.020000,10.015566,3.320660,11.150000,5.000000,0.000000,0.000000,4.773728
0.020000,10.022267,3.220885,11.250000,5.000000,0.000000,0.000000,4.785325
0.020000,10.030171,3.121199,11.350000,5.000000,0.000000,0.000000,4.797849
0.020000,10.039370,3.021624,11.450000,5.000000,0.000000,0.000000,4.811349
0.020000,10.049964,2.922187,11.550000,5.000000,0.000000,0.000000,4.825877
0.020000,10.062054,2.822922,11.650000,5.000000,0.000000,0.000000,4.841488
0.020000,10.075749,2.723865,11.750000,5.000000,0.000000,0.000000,4.858239
0.020000,10.091159,2.625061,11.850000,5.000000,0.000000,0.000000,4.876190
0.020000,10.108402,2.526560,11.950000,5.000000,0.000000,0.000000,4.895405
0.020000,10.127599,2.428422,12.050000,5.000000,0.000000,0.000000,4.915944
0.020000,10.148875,2.330714,12.150000,5.000000,0.000000,0.000000,4.937871
0.020000,10.172358,2.233513,12.250000,5.000000,0.000000,0.000000,4.961245
0.020000,10.198178,2.136906,12.350000,5.000000,0.000000,0.000000,4.986124
0.020000,10.226467,2.040994,12.450000,5.000000,0.000000,0.000000,5.012555
0.020000,10.257357,1.945888,12.550000,5.000000,0.000000,0.000000,5.040580
0.020000,10.290976,1.851712,12.650000,5.000000,0.000000,0.000000,5.070225
