dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.000000,0.000000,0.000263,0.026316,1.315789,65.789474,2.083049
0.020000,11.000000,0.000000,0.001316,0.078947,2.631579,65.789474,2.083155
0.020000,11.000000,0.000000,0.003684,0.157895,3.947368,65.789474,2.083394
0.020000,11.000000,0.000000,0.007895,0.263158,5.263158,65.789474,2.083819
0.020000,11.000000,0.000000,0.014474,0.394737,6.578947,65.789474,2.084483
0.020000,10.995800,0.007435,0.023947,0.552632,7.894737,65.789474,2.085441
0.020000,10.989576,0.018426,0.036579,0.710526,7.894737,-0.000000,2.086721
0.020000,10.981775,0.032154,0.052368,0.868421,7.894737,0.000000,2.088324
0.020000,10.972385,0.048611,0.071316,1.026316,7.894737,0.000000,2.090255
0.020000,10.961391,0.067786,0.093421,1.184211,7.894737,-0.000000,2.092516
0.020000,10.948772,0.089673,0.118684,1.342105,7.894737,0.000000,2.095112
0.020000,10.934507,0.114256,0.147105,1.500000,7.894737,0.000000,2.098047
0.020000,10.918573,0.141520,0.178684,1.657895,7.894737,0.000000,2.101326
0.020000,10.900944,0.171449,0.213421,1.815789,7.894737,0.000000,2.104955
0.020000,10.881585,0.204028,0.251316,1.973684,7.894737,-0.000000,2.108942
0.020000,10.860467,0.239231,0.292368,2.131579,7.894737,0.000000,2.113291
0.020000,10.837554,0.277040,0.336579,2.289474,7.894737,-0.000000,2.118012
0.020000,10.812804,0.317429,0.383947,2.447368,7.894737,0.000000,2.123113
0.020000,10.786177,0.360370,0.434474,2.605263,7.894737,0.000000,2.128603
0.020000,10.757627,0.405833,0.488158,2.763158,7.894737,0.000000,2.134490
0.020000,10.727105,0.453784,0.545000,2.921053,7.894737,0.000000,2.140786
0.020000,10.694558,0.504190,0.605000,3.078947,7.894737,0.000000,2.147501
0.020000,10.659932,0.557010,0.668158,3.236842,7.894737,-0.000000,2.154646
0.020000,10.623168,0.612201,0.734474,3.394737,7.894737,0.000000,2.162234
0.020000,10.584201,0.669717,0.803947,3.552632,7.894737,0.000000,2.170276
0.020000,10.542968,0.729509,0.876579,3.710526,7.894737,-0.000000,2.178786
0.020000,10.499396,0.791523,0.952368,3.868421,7.894737,0.000000,2.187777
0.020000,10.453416,0.855697,1.031316,4.026316,7.894737,0.000000,2.197263
0.020000,10.404947,0.921970,1.113421,4.184211,7.894737,0.000000,2.207258
0.020000,10.353912,0.990272,1.198684,4.342105,7.894737,0.000000,2.217777
0.020000,10.300226,1.060528,1.287105,4.500000,7.894737,0.000000,2.228832
0.020000,10.243801,1.132659,1.378684,4.657895,7.894737,0.000000,2.240440
0.020000,10.184547,1.206578,1.473421,4.815789,7.894737,0.000000,2.252614
0.020000,10.122372,1.282191,1.571316,4.973684,7.894737,0.000000,2.265367
0.020000,10.057177,1.359400,1.672368,5.131579,7.894737,0.000000,2.278713
0.020000,9.988866,1.438096,1.776579,5.289474,7.894737,0.000000,2.292663
0.020000,9.917335,1.518166,1.883947,5.447368,7.894737,0.000000,2.307229
0.020000,9.842482,1.599486,1.994474,5.605263,7.894737,0.000000,2.322420
0.020000,9.764386,1.681735,2.107895,5.736842,6.578947,-65.789474,2.338205
0.020000,9.683322,1.764412,2.223684,5.842105,5.263158,-65.789474,2.354516
0.020000,9.599590,1.847032,2.341316,5.921053,3.947368,-65.789474,2.371273
0.020000,9.513520,1.929129,2.460263,5.973684,2.631579,-65.789474,2.388396
0.020000,9.425464,2.010262,2.580000,6.000000,1.315789,-65.789474,2.405796
0.020000,9.335806,2.090019,2.700000,6.000000,0.000000,-65.789474,2.423380
0.020000,9.244754,2.168180,2.820000,6.000000,0.000000,0.000000,2.441091
0.020000,9.152329,2.244711,2.940000,6.000000,0.000000,0.000000,2.458909
0.020000,9.058550,2.319580,3.060000,6.000000,0.000000,0.000000,2.476810
0.020000,8.963445,2.392754,3.180000,6.000000,0.000000,0.000000,2.494774
0.020000,8.867039,2.464207,3.300000,6.000000,0.000000,0.000000,2.512776
0.020000,8.769362,2.533911,3.420000,6.000000,0.000000,0.000000,2.530793
0.020000,8.670445,2.601845,3.540000,6.000000,0.000000,0.000000,2.548800
0.020000,8.570321,2.667988,3.660000,6.000000,0.000000,0.000000,2.566774
0.020000,8.469027,2.732324,3.780000,6.000000,0.000000,0.000000,2.584690
0.020000,8.366599,2.794838,3.900000,6.000000,0.000000,0.000000,2.602523
0.020000,8.263075,2.855522,4.020000,6.000000,0.000000,0.000000,2.620250
0.020000,8.158496,2.914367,4.140000,6.000000,0.000000,0.000000,2.637848
0.020000,8.052901,2.971371,4.260000,6.000000,0.000000,0.000000,2.655294
0.020000,7.946333,3.026534,4.380000,6.000000,0.000000,0.000000,2.672565
0.020000,7.838834,3.079857,4.500000,6.000000,0.000000,0.000000,2.689642
0.020000,7.730445,3.131349,4.620000,6.000000,0.000000,0.000000,2.706504
0.020000,7.621208,3.181019,4.740000,6.000000,0.000000,0.000000,2.723133
0.020000,7.511167,3.228879,4.860000,6.000000,0.000000,0.000000,2.739511
0.020000,7.400362,3.274945,4.980000,6.000000,0.000000,0.000000,2.755622
0.020000,7.288837,3.319235,5.100000,6.000000,0.000000,0.000000,2.771452
0.020000,7.176630,3.361771,5.220000,6.000000,0.000000,0.000000,2.786988
