dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000564,3.000000,0.000263,0.026316,1.315789,65.789474,6.282621
0.020000,-0.000522,3.000000,0.000306,0.002133,-1.209153,-126.247114,6.282664
0.020000,-0.000426,3.000000,0.000402,0.004795,0.133115,67.113402,6.282759
0.020000,-0.000256,3.000000,0.000572,0.008512,0.185856,2.637055,6.282930
0.020000,0.000253,3.000000,0.001080,0.025413,0.845056,32.959975,0.000010
0.020000,0.010107,3.000002,0.010934,0.492709,23.364793,1125.986848,0.000391
0.020000,0.023244,3.000010,0.024071,0.656833,8.206211,-757.929090,0.000896
0.020000,0.039660,3.000030,0.040488,0.820841,8.200371,-0.292010,0.001523
0.020000,0.059355,3.000068,0.060182,0.984720,8.193963,-0.320414,0.002270
0.020000,0.082323,3.000130,0.083150,1.148396,8.183815,-0.507367,0.003133
0.020000,0.108561,3.000225,0.109389,1.311928,8.176605,-0.360490,0.004108
0.020000,0.138065,3.000362,0.138893,1.475227,8.164931,-0.583705,0.005192
0.020000,0.170830,3.000552,0.171659,1.638284,8.152846,-0.604249,0.006378
0.020000,0.206851,3.000804,0.207681,1.801092,8.140387,-0.622979,0.007663
0.020000,0.246121,3.001133,0.246952,1.963565,8.123670,-0.835817,0.009040
0.020000,0.288634,3.001548,0.289467,2.125761,8.109800,-0.693493,0.010502
0.020000,0.334384,3.002064,0.335219,2.287607,8.092278,-0.876133,0.012044
0.020000,0.383361,3.002694,0.384201,2.449095,8.074437,-0.892045,0.013657
0.020000,0.435559,3.003450,0.436405,2.610168,8.053652,-1.039257,0.015335
0.020000,0.490969,3.004348,0.491822,2.770866,8.034885,-0.938343,0.017068
0.020000,0.549582,3.005401,0.550444,2.931114,8.012376,-1.125434,0.018848
0.020000,0.611388,3.006623,0.612262,3.090906,7.989620,-1.137817,0.020666
0.020000,0.676378,3.008027,0.677267,3.250237,7.966538,-1.154102,0.022513
0.020000,0.744540,3.009625,0.745448,3.409058,7.941064,-1.273711,0.024378
0.020000,0.815865,3.011432,0.816796,3.567376,7.915911,-1.257639,0.026252
0.020000,0.890340,3.013458,0.891299,3.725149,7.888636,-1.363727,0.028123
0.020000,0.967955,3.015714,0.968946,3.882370,7.861067,-1.378479,0.029981
0.020000,1.048697,3.018210,1.049727,4.039026,7.832773,-1.414699,0.031814
0.020000,1.132553,3.020955,1.133628,4.195068,7.802084,-1.534433,0.033611
0.020000,1.219512,3.023956,1.220638,4.350511,7.772157,-1.496368,0.035358
0.020000,1.309559,3.027218,1.310745,4.505323,7.740619,-1.576874,0.037043
0.020000,1.402682,3.030745,1.403934,4.659476,7.707665,-1.647730,0.038654
0.020000,1.498866,3.034539,1.500194,4.812963,7.674348,-1.665839,0.040176
0.020000,1.598098,3.038600,1.599509,4.965758,7.639711,-1.731855,0.041596
0.020000,1.700364,3.042925,1.701866,5.117844,7.604321,-1.769493,0.042901
0.020000,1.805648,3.047507,1.807250,5.269197,7.567670,-1.832536,0.044074
0.020000,1.913936,3.052341,1.915645,5.419793,7.529787,-1.894180,0.045101
0.020000,2.025213,3.057413,2.027038,5.569613,7.491005,-1.939088,0.045967
0.020000,2.139199,3.062697,2.141146,5.705403,6.789483,-35.076105,0.046654
0.020000,2.255351,3.068151,2.257427,5.814036,5.431675,-67.890397,0.047146
0.020000,2.373133,3.073727,2.375340,5.895682,4.082300,-67.468759,0.047428
0.020000,2.492009,3.079375,2.494351,5.950520,2.741894,-67.020271,0.047491
0.020000,2.611450,3.085044,2.613925,5.978736,1.410777,-66.555841,0.047328
0.020000,2.730927,3.090682,2.733536,5.980515,0.088948,-66.091486,0.046939
0.020000,2.850180,3.096249,2.852918,5.969123,-0.569574,-32.926060,0.046321
0.020000,2.969208,3.101718,2.972072,5.957713,-0.570527,-0.047677,0.045475
0.020000,3.088013,3.107063,3.090998,5.946262,-0.572518,-0.099569,0.044401
