dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.004467,4.999990,0.000263,0.026316,1.315789,65.789474,6.278718
0.020000,0.004069,4.999992,0.000661,0.019894,-0.321076,-81.843292,6.279116
0.020000,0.003175,4.999995,0.001555,0.044723,1.241419,78.124765,6.280011
0.020000,0.001587,4.999999,0.003143,0.079372,1.732470,24.552566,6.281598
0.020000,0.001473,5.000001,0.003257,0.005709,-3.683171,-270.782068,0.000886
0.020000,0.007403,5.000016,0.009188,0.296522,14.540654,911.191250,0.004430
0.020000,0.015343,5.000070,0.017127,0.396984,5.023094,-475.877973,0.009122
0.020000,0.025319,5.000190,0.027104,0.498844,5.092998,3.495158,0.014933
0.020000,0.037369,5.000412,0.039156,0.602616,5.188643,4.782277,0.021829
0.020000,0.051531,5.000778,0.053323,0.708344,5.286399,4.887790,0.029766
0.020000,0.067854,5.001337,0.069655,0.816598,5.412686,6.314356,0.038697
0.020000,0.086388,5.002147,0.088207,0.927583,5.549239,6.827649,0.048568
0.020000,0.107186,5.003270,0.109036,1.041441,5.692911,7.183598,0.059316
0.020000,0.130312,5.004778,0.132211,1.158740,5.864938,8.601327,0.070878
0.020000,0.155826,5.006749,0.157800,1.279483,6.037169,8.611595,0.083183
0.020000,0.183792,5.009264,0.185879,1.403943,6.222997,9.291404,0.096157
0.020000,0.214274,5.012415,0.216523,1.532214,6.413562,9.528205,0.109723
0.020000,0.247337,5.016295,0.249814,1.664515,6.615036,10.073725,0.123802
0.020000,0.283042,5.021004,0.285828,1.800694,6.808946,9.695486,0.138314
0.020000,0.321449,5.026644,0.324647,1.940971,7.013827,10.244080,0.153178
0.020000,0.362615,5.033322,0.366351,2.085218,7.212390,9.928123,0.168314
0.020000,0.406596,5.041145,0.411022,2.233544,7.416284,10.194724,0.183644
0.020000,0.453434,5.050224,0.458732,2.385504,7.598010,9.086289,0.199091
0.020000,0.503173,5.060665,0.509555,2.541145,7.782037,9.201330,0.214584
0.020000,0.555848,5.072577,0.563560,2.700246,7.955032,8.649753,0.230052
0.020000,0.611487,5.086064,0.620811,2.862545,8.114955,7.996180,0.245430
0.020000,0.670119,5.101231,0.681373,3.028079,8.276735,8.088978,0.260660
0.020000,0.731754,5.118173,0.745294,3.196060,8.399043,6.115413,0.275684
0.020000,0.796408,5.136986,0.812629,3.366747,8.534316,6.763662,0.290453
0.020000,0.864086,5.157756,0.883423,3.539693,8.647333,5.650838,0.304922
0.020000,0.934791,5.180567,0.957716,3.714685,8.749607,5.113689,0.319051
0.020000,1.008516,5.205491,1.035540,3.891186,8.825020,3.770675,0.332803
0.020000,1.085261,5.232601,1.116932,4.069623,8.921881,4.843018,0.346149
0.020000,1.165011,5.261955,1.201913,4.249043,8.970970,2.454480,0.359060
0.020000,1.247760,5.293610,1.290510,4.429846,9.040138,3.458387,0.371515
0.020000,1.333494,5.327614,1.382741,4.611556,9.085533,2.269727,0.383494
0.020000,1.422201,5.364006,1.478623,4.794085,9.126417,2.044225,0.394981
0.020000,1.513868,5.402822,1.578170,4.977354,9.163445,1.851389,0.405961
0.020000,1.608263,5.443990,1.681152,5.149082,8.586447,-28.849895,0.416399
0.020000,1.704935,5.487322,1.787091,5.296974,7.394574,-59.593635,0.426249
0.020000,1.803428,5.532604,1.895495,5.420183,6.160473,-61.705068,0.435477
0.020000,1.903286,5.579595,2.005857,5.518102,4.895914,-63.227948,0.444062
0.020000,2.004052,5.628033,2.117660,5.590137,3.601743,-64.708551,0.451995
0.020000,2.105269,5.677640,2.230380,5.636004,2.293362,-65.419046,0.459276
0.020000,2.206703,5.728231,2.343730,5.667533,1.576479,-35.844149,0.465925
0.020000,2.308348,5.779736,2.457679,5.697448,1.495711,-4.038419,0.471976
0.020000,2.410199,5.832084,2.572195,5.725801,1.417649,-3.903105,0.477460
0.020000,2.512252,5.885212,2.687250,5.752705,1.345197,-3.622590,0.482406
0.020000,2.614513,5.939057,2.802820,5.778529,1.291215,-2.699094,0.486835
0.020000,2.716984,5.993562,2.918886,5.803273,1.237189,-2.701290,0.490771
0.020000,2.819671,6.048670,3.035425,5.826990,1.185852,-2.566867,0.494230
0.020000,2.922585,6.104328,3.152426,5.850017,1.151382,-1.723500,0.497230
0.020000,3.025737,6.160485,3.269873,5.872353,1.116797,-1.729214,0.499783
0.020000,3.129138,6.217092,3.387755,5.894110,1.087815,-1.449112,0.501901
0.020000,3.232805,6.274100,3.506063,5.915391,1.064084,-1.186577,0.503594
0.020000,3.336753,6.331464,3.624788,5.936280,1.044431,-0.982649,0.504868
0.020000,3.441000,6.389139,3.743927,5.956918,1.031909,-0.626074,0.505730
0.020000,3.545568,6.447081,3.863474,5.977369,1.022539,-0.468488,0.506183
0.020000,3.650477,6.505246,3.983428,5.997719,1.017497,-0.252102,0.506229
0.020000,3.755751,6.563591,4.103790,6.018056,1.016859,-0.031926,0.505868
0.020000,3.861415,6.622075,4.224559,6.038468,1.020598,0.186962,0.505098
0.020000,3.967496,6.680654,4.345740,6.059043,1.028733,0.406752,0.503917
