dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000986,1.000000,0.000260,0.026042,1.302083,65.104167,6.282199
0.020000,0.000934,1.000000,0.000312,0.002599,-1.172125,-123.710417,6.282251
0.020000,0.000817,1.000000,0.000429,0.005849,0.162497,66.731121,6.282368
0.020000,0.000609,1.000000,0.000637,0.010402,0.227635,3.256872,6.282576
0.020000,0.000284,1.000000,0.000963,0.016262,0.292985,3.267503,6.282902
0.020000,0.003514,1.000000,0.004193,0.161531,7.263493,348.525395,0.000185
0.020000,0.015388,1.000006,0.016067,0.593705,21.608663,717.258527,0.000811
0.020000,0.030230,1.000024,0.030909,0.742088,7.419163,-709.475002,0.001595
0.020000,0.048037,1.000061,0.048716,0.890337,7.412477,-0.334309,0.002538
0.020000,0.068808,1.000125,0.069487,1.038547,7.410482,-0.099740,0.003642
0.020000,0.092540,1.000227,0.093220,1.186635,7.404371,-0.305544,0.004908
0.020000,0.119236,1.000377,0.119915,1.334798,7.408190,0.190917,0.006338
0.020000,0.148888,1.000588,0.149568,1.482650,7.392592,-0.779903,0.007934
0.020000,0.181499,1.000876,0.182180,1.630589,7.396946,0.217697,0.009699
0.020000,0.217061,1.001255,0.217745,1.778239,7.382504,-0.722071,0.011634
0.020000,0.255574,1.001744,0.256261,1.925795,7.377810,-0.234702,0.013743
0.020000,0.297033,1.002361,0.297724,2.073170,7.368739,-0.453541,0.016029
0.020000,0.341435,1.003127,0.342133,2.220425,7.362736,-0.300152,0.018495
0.020000,0.388776,1.004066,0.389483,2.367528,7.355173,-0.378178,0.021145
0.020000,0.439051,1.005200,0.439771,2.514367,7.341918,-0.662742,0.023983
0.020000,0.492253,1.006557,0.492990,2.660972,7.330245,-0.583665,0.027014
0.020000,0.548378,1.008164,0.549138,2.807398,7.321318,-0.446329,0.030241
0.020000,0.607419,1.010051,0.608209,2.953549,7.307559,-0.687960,0.033670
0.020000,0.669366,1.012250,0.670196,3.099327,7.288889,-0.933508,0.037306
0.020000,0.734219,1.014795,0.735098,3.245129,7.290098,0.060481,0.041156
0.020000,0.801961,1.017723,0.802904,3.390296,7.258349,-1.587468,0.045224
0.020000,0.872587,1.021071,0.873609,3.535256,7.247992,-0.517853,0.049519
0.020000,0.946087,1.024880,0.947207,3.679900,7.232231,-0.788064,0.054046
0.020000,1.022447,1.029193,1.023690,3.824119,7.210957,-1.063702,0.058814
0.020000,1.101656,1.034056,1.103047,3.967868,7.187437,-1.175961,0.063830
0.020000,1.183702,1.039517,1.185275,4.111402,7.176695,-0.537141,0.069103
0.020000,1.268569,1.045626,1.270361,4.254320,7.145877,-1.540886,0.074642
0.020000,1.355997,1.052418,1.358053,4.384559,6.511971,-31.695292,0.080440
0.020000,1.445483,1.059903,1.447851,4.489931,5.268602,-62.168470,0.086474
0.020000,1.536527,1.068081,1.539262,4.570525,4.029721,-61.944043,0.092718
0.020000,1.628632,1.076944,1.631793,4.626556,2.801549,-61.408592,0.099147
0.020000,1.721298,1.086469,1.724947,4.657703,1.557325,-62.211184,0.105731
