dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000263,0.026316,1.315789,65.789474,6.282199
0.020000,0.000000,0.000000,0.001316,0.078947,2.631579,65.789474,6.282252
0.020000,0.000000,0.000000,0.003684,0.157895,3.947368,65.789474,6.282370
0.020000,0.000000,0.000000,0.007895,0.263158,5.263158,65.789474,6.282580
0.020000,0.000000,0.000000,0.014474,0.394737,6.578947,65.789474,6.282909
0.020000,0.003949,0.000000,0.023947,0.552632,7.894737,65.789474,0.000198
0.020000,0.016580,0.000007,0.036579,0.710526,7.894737,-0.000000,0.000830
0.020000,0.032371,0.000026,0.052368,0.868421,7.894737,0.000000,0.001622
0.020000,0.051318,0.000066,0.071316,1.026316,7.894737,0.000000,0.002576
0.020000,0.073423,0.000135,0.093421,1.184211,7.894737,-0.000000,0.003691
0.020000,0.098684,0.000245,0.118684,1.342105,7.894737,0.000000,0.004971
0.020000,0.127107,0.000406,0.147105,1.500000,7.894737,0.000000,0.006416
0.020000,0.158683,0.000635,0.178684,1.657895,7.894737,0.000000,0.008030
0.020000,0.193420,0.000944,0.213421,1.815789,7.894737,0.000000,0.009813
0.020000,0.231313,0.001353,0.251316,1.973684,7.894737,-0.000000,0.011770
0.020000,0.272362,0.001880,0.292368,2.131579,7.894737,0.000000,0.013902
0.020000,0.316566,0.002546,0.336579,2.289474,7.894737,-0.000000,0.016213
0.020000,0.363929,0.003373,0.383947,2.447368,7.894737,0.000000,0.018706
0.020000,0.414443,0.004385,0.434474,2.605263,7.894737,0.000000,0.021386
0.020000,0.468115,0.005610,0.488158,2.763158,7.894737,0.000000,0.024256
0.020000,0.524938,0.007076,0.545000,2.921053,7.894737,0.000000,0.027321
0.020000,0.584913,0.008813,0.605000,3.078947,7.894737,0.000000,0.030585
0.020000,0.648036,0.010853,0.668158,3.236842,7.894737,-0.000000,0.034054
0.020000,0.714311,0.013233,0.734474,3.394737,7.894737,0.000000,0.037733
0.020000,0.783728,0.015989,0.803947,3.552632,7.894737,0.000000,0.041627
0.020000,0.856292,0.019160,0.876579,3.710526,7.894737,-0.000000,0.045744
0.020000,0.931994,0.022790,0.952368,3.868421,7.894737,0.000000,0.050091
0.020000,1.010832,0.026923,1.031316,4.026316,7.894737,0.000000,0.054673
0.020000,1.092804,0.031608,1.113421,4.184211,7.894737,0.000000,0.059499
0.020000,1.177904,0.036893,1.198684,4.342105,7.894737,0.000000,0.064578
0.020000,1.266125,0.042834,1.287105,4.500000,7.894737,0.000000,0.069917
0.020000,1.357462,0.049488,1.378684,4.657895,7.894737,0.000000,0.075527
0.020000,1.451907,0.056914,1.473421,4.815789,7.894737,0.000000,0.081416
0.020000,1.549452,0.065176,1.571316,4.973684,7.894737,0.000000,0.087597
0.020000,1.650088,0.074341,1.672368,5.131579,7.894737,0.000000,0.094079
0.020000,1.753803,0.084482,1.776579,5.289474,7.894737,0.000000,0.100874
0.020000,1.860587,0.095674,1.883947,5.447368,7.894737,0.000000,0.107996
0.020000,1.970423,0.107996,1.994474,5.605263,7.894737,0.000000,0.115457
0.020000,2.083038,0.121500,2.107895,5.736842,6.578947,-65.789474,0.123254
0.020000,2.197890,0.136199,2.223684,5.842105,5.263158,-65.789474,0.131363
0.020000,2.314443,0.152095,2.341316,5.921053,3.947368,-65.789474,0.139759
0.020000,2.432156,0.169173,2.460263,5.973684,2.631579,-65.789474,0.148414
0.020000,2.550497,0.187402,2.580000,6.000000,1.315789,-65.789474,0.157297
0.020000,2.668929,0.206736,2.700000,6.000000,0.000000,-65.789474,0.166376
0.020000,2.787179,0.227155,2.820000,6.000000,0.000000,0.000000,0.175635
0.020000,2.905233,0.248679,2.940000,6.000000,0.000000,0.000000,0.185077
0.020000,3.023075,0.271327,3.060000,6.000000,0.000000,0.000000,0.194705
0.020000,3.140692,0.295120,3.180000,6.000000,0.000000,0.000000,0.204524
0.020000,3.258067,0.320078,3.300000,6.000000,0.000000,0.000000,0.214536
0.020000,3.375184,0.346221,3.420000,6.000000,0.000000,0.000000,0.224745
0.020000,3.492026,0.373571,3.540000,6.000000,0.000000,0.000000,0.235155
0.020000,3.608574,0.402147,3.660000,6.000000,0.000000,0.000000,0.245767
0.020000,3.724807,0.431970,3.780000,6.000000,0.000000,0.000000,0.256586
0.020000,3.840709,0.463061,3.900000,6.000000,0.000000,0.000000,0.267614
0.020000,3.956258,0.495440,4.020000,6.000000,0.000000,0.000000,0.278854
0.020000,4.071430,0.529128,4.140000,6.000000,0.000000,0.000000,0.290308
0.020000,4.186207,0.564147,4.260000,6.000000,0.000000,0.000000,0.301979
0.020000,4.300562,0.600514,4.380000,6.000000,0.000000,0.000000,0.313868
0.020000,4.414474,0.638251,4.500000,6.000000,0.000000,0.000000,0.325977
0.020000,4.527915,0.677377,4.620000,6.000000,0.000000,0.000000,0.338308
0.020000,4.640861,0.717911,4.740000,6.000000,0.000000,0.000000,0.350862
0.020000,4.753285,0.759873,4.860000,6.000000,0.000000,0.000000,0.363639
0.020000,4.865158,0.803280,4.980000,6.000000,0.000000,0.000000,0.376639
0.020000,4.976452,0.848150,5.100000,6.000000,0.000000,0.000000,0.389863
0.020000,5.087138,0.894500,5.220000,6.000000,0.000000,0.000000,0.403310
0.020000,5.197185,0.942346,5.340000,6.000000,0.000000,0.000000,0.416978
0.020000,5.306563,0.991704,5.460000,6.000000,0.000000,0.000000,0.430866
0.020000,5.415240,1.042589,5.580000,6.000000,0.000000,0.000000,0.444971
0.020000,5.523182,1.095012,5.700000,6.000000,0.000000,0.000000,0.459291
0.020000,5.630356,1.148988,5.820000,6.000000,0.000000,0.000000,0.473823
0.020000,5.736730,1.204526,5.940000,6.000000,0.000000,0.000000,0.488561
0.020000,5.842267,1.261636,6.060000,6.000000,0.000000,0.000000,0.503501
0.020000,5.946934,1.320327,6.180000,6.000000,0.000000,0.000000,0.518637
0.020000,6.050695,1.380605,6.300000,6.000000,0.000000,0.000000,0.533964
0.020000,6.153513,1.442476,6.420000,6.000000,0.000000,0.000000,0.549474
0.020000,6.255354,1.505943,6.540000,6.000000,0.000000,0.000000,0.565159
0.020000,6.356182,1.571009,6.660000,6.000000,0.000000,0.000000,0.581012
0.020000,6.455960,1.637672,6.780000,6.000000,0.000000,0.000000,0.597022
0.020000,6.554653,1.705931,6.900000,6.000000,0.000000,0.000000,0.613180
0.020000,6.652225,1.775783,7.020000,6.000000,0.000000,0.000000,0.629475
0.020000,6.748642,1.847222,7.140000,6.000000,0.000000,0.000000,0.645897
0.020000,6.843868,1.920240,7.260000,6.000000,0.000000,0.000000,0.662433
0.020000,6.937870,1.994827,7.380000,6.000000,0.000000,0.000000,0.679070
0.020000,7.030615,2.070972,7.500000,6.000000,0.000000,0.000000,0.695797
0.020000,7.122070,2.148662,7.620000,6.000000,0.000000,0.000000,0.712600
0.020000,7.212204,2.227879,7.740000,6.000000,0.000000,0.000000,0.729465
0.020000,7.300987,2.308608,7.860000,6.000000,0.000000,0.000000,0.746378
0.020000,7.388391,2.390829,7.980000,6.000000,0.000000,0.000000,0.763324
0.020000,7.474389,2.474519,8.100000,6.000000,0.000000,0.000000,0.780289
0.020000,7.558953,2.559657,8.220000,6.000000,0.000000,0.000000,0.797259
0.020000,7.642062,2.646217,8.340000,6.000000,0.000000,0.000000,0.814218
0.020000,7.723691,2.734173,8.460000,6.000000,0.000000,0.000000,0.831153
0.020000,7.803821,2.823497,8.580000,6.000000,0.000000,0.000000,0.848048
0.020000,7.882433,2.914161,8.700000,6.000000,0.000000,0.000000,0.864890
0.020000,7.959509,3.006133,8.820000,6.000000,0.000000,0.000000,0.881664
0.020000,8.035036,3.099381,8.940000,6.000000,0.000000,0.000000,0.898357
0.020000,8.109000,3.193875,9.060000,6.000000,0.000000,0.000000,0.914956
0.020000,8.181391,3.289578,9.180000,6.000000,0.000000,0.000000,0.931448
0.020000,8.252199,3.386459,9.300000,6.000000,0.000000,0.000000,0.947821
0.020000,8.321418,3.484482,9.420000,6.000000,0.000000,0.000000,0.964062
0.020000,8.389043,3.583611,9.540000,6.000000,0.000000,0.000000,0.980163
0.020000,8.455070,3.683811,9.660000,6.000000,0.000000,0.000000,0.996111
0.020000,8.519499,3.785046,9.780000,6.000000,0.000000,0.000000,1.011898
0.020000,8.582331,3.887280,9.900000,6.000000,0.000000,0.000000,1.027515
