dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000986,-1.000000,0.000256,0.025641,1.282051,64.102564,6.282199
0.020000,-0.000935,-1.000000,0.000308,0.002559,-1.154092,-121.807187,6.282250
0.020000,-0.000820,-1.000000,0.000423,0.005759,0.159997,65.704449,6.282365
0.020000,-0.000615,-1.000000,0.000628,0.010242,0.224129,3.206642,6.282570
0.020000,-0.000295,-1.000000,0.000948,0.016011,0.288468,3.216949,6.282891
0.020000,0.003501,-1.000000,0.004744,0.189814,8.690159,420.084509,0.000167
0.020000,0.016426,-0.999994,0.017668,0.646214,22.819990,706.491554,0.000783
0.020000,0.032583,-0.999975,0.033826,0.807867,8.082672,-736.865877,0.001555
0.020000,0.051973,-0.999936,0.053216,0.969512,8.082205,-0.023333,0.002484
0.020000,0.074598,-0.999867,0.075841,1.131257,8.087279,0.253667,0.003570
0.020000,0.100459,-0.999759,0.101702,1.293040,8.089131,0.092621,0.004817
0.020000,0.129558,-0.999598,0.130802,1.454989,8.097453,0.416107,0.006224
0.020000,0.161898,-0.999371,0.163142,1.617030,8.102058,0.230214,0.007795
0.020000,0.197210,-0.999066,0.198456,1.765677,7.432357,-33.485037,0.009519
0.020000,0.234956,-0.998671,0.236204,1.887409,6.086594,-67.288160,0.011370
0.020000,0.274600,-0.998182,0.275851,1.982328,4.745938,-67.032777,0.013325
0.020000,0.315603,-0.997594,0.316858,2.050365,3.401887,-67.202546,0.015358
0.020000,0.357427,-0.996908,0.358687,2.091472,2.055349,-67.326898,0.017444
0.020000,0.399532,-0.996129,0.400800,2.105611,0.706940,-67.420436,0.019556
0.020000,0.441648,-0.995261,0.442925,2.106258,0.032355,-33.729280,0.021681
0.020000,0.483775,-0.994302,0.485063,2.106910,0.032588,0.011671,0.023818
0.020000,0.525914,-0.993253,0.527214,2.107567,0.032821,0.011637,0.025970
0.020000,0.568063,-0.992112,0.569379,2.108228,0.033053,0.011604,0.028134
0.020000,0.610223,-0.990880,0.611557,2.108893,0.033285,0.011569,0.030312
0.020000,0.652393,-0.989555,0.653748,2.109564,0.033515,0.011535,0.032503
0.020000,0.694574,-0.988137,0.695953,2.110239,0.033745,0.011501,0.034708
0.020000,0.736765,-0.986625,0.738171,2.110918,0.033975,0.011466,0.036926
0.020000,0.778967,-0.985019,0.780403,2.111602,0.034203,0.011431,0.039159
0.020000,0.821178,-0.983318,0.822649,2.112291,0.034431,0.011397,0.041405
0.020000,0.863400,-0.981521,0.864909,2.112984,0.034658,0.011362,0.043665
0.020000,0.905631,-0.979628,0.907182,2.113682,0.034885,0.011327,0.045939
0.020000,0.947873,-0.977638,0.949471,2.114427,0.037279,0.119688,0.048228
0.020000,0.990125,-0.975549,0.991775,2.115187,0.037991,0.035626,0.050531
0.020000,1.032386,-0.973363,1.034093,2.115902,0.035758,-0.111671,0.052848
0.020000,1.074657,-0.971078,1.076425,2.116622,0.035981,0.011139,0.055181
0.020000,1.116937,-0.968693,1.118772,2.117346,0.036203,0.011102,0.057527
0.020000,1.159225,-0.966207,1.161133,2.118074,0.036424,0.011065,0.059889
0.020000,1.201522,-0.963621,1.203510,2.118807,0.036644,0.011029,0.062265
0.020000,1.243828,-0.960932,1.245900,2.119544,0.036864,0.010992,0.064657
0.020000,1.286142,-0.958141,1.288306,2.120286,0.037083,0.010956,0.067063
0.020000,1.328465,-0.955247,1.330728,2.121100,0.040684,0.180054,0.069485
0.020000,1.370797,-0.952249,1.373166,2.121916,0.040821,0.006825,0.071923
0.020000,1.413137,-0.949147,1.415620,2.122675,0.037925,-0.144811,0.074376
0.020000,1.455485,-0.945939,1.458089,2.123438,0.038140,0.010747,0.076844
0.020000,1.497839,-0.942625,1.500573,2.124205,0.038354,0.010709,0.079329
0.020000,1.540201,-0.939204,1.543072,2.124976,0.038567,0.010672,0.081829
0.020000,1.582569,-0.935676,1.585587,2.125752,0.038780,0.010635,0.084345
0.020000,1.624946,-0.932039,1.628120,2.126646,0.044716,0.296777,0.086877
0.020000,1.667331,-0.928293,1.670670,2.127477,0.041582,-0.156676,0.089426
0.020000,1.709721,-0.924437,1.713235,2.128269,0.039593,-0.099457,0.091991
0.020000,1.752117,-0.920471,1.755817,2.129065,0.039801,0.010410,0.094572
0.020000,1.794519,-0.916394,1.798414,2.129866,0.040009,0.010373,0.097170
0.020000,1.836926,-0.912204,1.841027,2.130676,0.040521,0.025600,0.099785
0.020000,1.879342,-0.907901,1.883661,2.131661,0.049232,0.435563,0.102417
0.020000,1.921762,-0.903485,1.926310,2.132477,0.040798,-0.421689,0.105066
0.020000,1.964187,-0.898954,1.968976,2.133297,0.041001,0.010135,0.107732
0.020000,2.006615,-0.894307,2.011658,2.134121,0.041203,0.010097,0.110415
0.020000,2.049048,-0.889545,2.054358,2.134960,0.041963,0.038008,0.113116
0.020000,2.091488,-0.884665,2.097077,2.135983,0.051139,0.458826,0.115834
0.020000,2.133931,-0.879668,2.139814,2.136822,0.041967,-0.458627,0.118570
0.020000,2.176378,-0.874552,2.182567,2.137665,0.042164,0.009847,0.121323
0.020000,2.218826,-0.869317,2.225337,2.138512,0.042360,0.009809,0.124095
0.020000,2.261280,-0.863962,2.268127,2.139490,0.048884,0.326183,0.126884
0.020000,2.303737,-0.858485,2.310936,2.140439,0.047452,-0.071560,0.129692
0.020000,2.346195,-0.852886,2.353762,2.141301,0.043097,-0.217781,0.132518
0.020000,2.388655,-0.847165,2.396605,2.142167,0.043288,0.009548,0.135362
0.020000,2.431117,-0.841320,2.439468,2.143149,0.049127,0.291956,0.138226
0.020000,2.473583,-0.835350,2.482351,2.144145,0.049794,0.033335,0.141107
0.020000,2.516048,-0.829255,2.525252,2.145025,0.044000,-0.289677,0.144008
0.020000,2.558513,-0.823034,2.568170,2.145909,0.044186,0.009275,0.146927
0.020000,2.600980,-0.816686,2.611109,2.146967,0.052885,0.434988,0.149866
0.020000,2.643448,-0.810209,2.654068,2.147937,0.048526,-0.217964,0.152824
0.020000,2.685914,-0.803603,2.697045,2.148835,0.044872,-0.182715,0.155801
0.020000,2.728379,-0.796868,2.740040,2.149771,0.046828,0.097790,0.158798
0.020000,2.770845,-0.790002,2.783058,2.150901,0.056490,0.483127,0.161815
0.020000,2.813309,-0.783004,2.826094,2.151812,0.045535,-0.547736,0.164851
0.020000,2.855769,-0.775873,2.869149,2.152726,0.045710,0.008734,0.167907
0.020000,2.898229,-0.768609,2.912226,2.153858,0.056610,0.544983,0.170983
0.020000,2.940686,-0.761210,2.955323,2.154838,0.049013,-0.379850,0.174079
0.020000,2.983138,-0.753677,2.998438,2.155765,0.046345,-0.133409,0.177196
0.020000,3.025588,-0.746006,3.041575,2.156869,0.055206,0.443098,0.180333
0.020000,3.068034,-0.738199,3.084734,2.157913,0.052165,-0.152065,0.183490
0.020000,3.110473,-0.730253,3.127911,2.158852,0.046954,-0.260569,0.186668
0.020000,3.152909,-0.722168,3.171110,2.159967,0.055774,0.441015,0.189867
