dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000986,1.000000,0.000256,0.025641,1.282051,64.102564,6.282199
0.020000,0.000935,1.000000,0.000308,0.002559,-1.154092,-121.807187,6.282250
0.020000,0.000820,1.000000,0.000423,0.005759,0.159997,65.704449,6.282365
0.020000,0.000615,1.000000,0.000628,0.010242,0.224129,3.206642,6.282570
0.020000,0.000295,1.000000,0.000948,0.016011,0.288468,3.216949,6.282891
0.020000,0.003168,1.000000,0.003821,0.143658,6.382345,304.693844,0.000167
0.020000,0.014860,1.000006,0.015513,0.584586,22.046418,783.203629,0.000783
0.020000,0.029473,1.000023,0.030126,0.730671,7.304216,-737.110094,0.001555
0.020000,0.047006,1.000058,0.047659,0.876644,7.298672,-0.277220,0.002484
0.020000,0.067458,1.000120,0.068111,1.022586,7.297079,-0.079639,0.003570
0.020000,0.090826,1.000218,0.091479,1.168416,7.291496,-0.279124,0.004817
0.020000,0.117110,1.000363,0.117764,1.314229,7.290659,-0.041848,0.006224
0.020000,0.146308,1.000568,0.146962,1.459935,7.285334,-0.266246,0.007795
0.020000,0.178174,1.000844,0.178829,1.593346,6.670522,-30.740598,0.009519
0.020000,0.212217,1.001199,0.212875,1.702273,5.446342,-61.208999,0.011370
0.020000,0.247951,1.001641,0.248612,1.786846,4.228685,-60.882885,0.013325
0.020000,0.284889,1.002170,0.285553,1.847052,3.010296,-60.919421,0.015358
0.020000,0.322542,1.002788,0.323211,1.882899,1.792338,-60.897929,0.017444
0.020000,0.360423,1.003489,0.361099,1.894411,0.575617,-60.836053,0.019556
0.020000,0.398290,1.004269,0.398974,1.893764,-0.032379,-30.399795,0.021681
0.020000,0.436143,1.005131,0.436836,1.893111,-0.032662,-0.014131,0.023818
0.020000,0.473980,1.006073,0.474685,1.892452,-0.032949,-0.014343,0.025970
0.020000,0.511802,1.007096,0.512521,1.891787,-0.033240,-0.014554,0.028134
0.020000,0.549608,1.008201,0.550343,1.891116,-0.033535,-0.014764,0.030312
0.020000,0.587398,1.009388,0.588152,1.890439,-0.033835,-0.014974,0.032503
0.020000,0.625172,1.010658,0.625947,1.889757,-0.034138,-0.015183,0.034708
0.020000,0.662929,1.012011,0.663729,1.889068,-0.034446,-0.015391,0.036926
0.020000,0.700669,1.013448,0.701496,1.888373,-0.034758,-0.015598,0.039159
0.020000,0.738392,1.014968,0.739250,1.887671,-0.035074,-0.015804,0.041405
0.020000,0.776097,1.016573,0.776989,1.886963,-0.035394,-0.016009,0.043665
0.020000,0.813785,1.018262,0.814714,1.886249,-0.035718,-0.016213,0.045939
0.020000,0.851454,1.020037,0.852425,1.885567,-0.034114,0.080214,0.048228
0.020000,0.889106,1.021898,0.890123,1.884886,-0.034017,0.004882,0.050531
0.020000,0.926739,1.023845,0.927806,1.884155,-0.036546,-0.126468,0.052848
0.020000,0.964352,1.025878,0.965474,1.883418,-0.036887,-0.017078,0.055181
0.020000,1.001946,1.027999,1.003128,1.882673,-0.037233,-0.017275,0.057527
0.020000,1.039519,1.030207,1.040766,1.881921,-0.037582,-0.017470,0.059889
0.020000,1.077072,1.032504,1.078390,1.881163,-0.037936,-0.017663,0.062265
0.020000,1.114605,1.034889,1.115997,1.880397,-0.038293,-0.017853,0.064657
0.020000,1.152116,1.037363,1.153590,1.879624,-0.038654,-0.018041,0.067063
0.020000,1.189606,1.039926,1.191168,1.878903,-0.036023,0.131537,0.069485
0.020000,1.227076,1.042580,1.228731,1.878174,-0.036470,-0.022349,0.071923
0.020000,1.264523,1.045324,1.266279,1.877382,-0.039601,-0.156551,0.074376
0.020000,1.301947,1.048159,1.303811,1.876582,-0.039978,-0.018847,0.076844
0.020000,1.339349,1.051085,1.341326,1.875775,-0.040358,-0.019022,0.079329
0.020000,1.376726,1.054104,1.378825,1.874960,-0.040742,-0.019193,0.081829
0.020000,1.414080,1.057214,1.416308,1.874138,-0.041129,-0.019361,0.084345
0.020000,1.451411,1.060418,1.453776,1.873408,-0.036480,0.232474,0.086877
0.020000,1.488717,1.063715,1.491229,1.872611,-0.039829,-0.167446,0.089426
0.020000,1.525999,1.067106,1.528664,1.871768,-0.042165,-0.116791,0.091991
0.020000,1.563254,1.070592,1.566082,1.870917,-0.042566,-0.020086,0.094572
0.020000,1.600484,1.074172,1.603483,1.870057,-0.042971,-0.020235,0.097170
0.020000,1.637687,1.077847,1.640867,1.869195,-0.043111,-0.006993,0.099785
0.020000,1.674865,1.081619,1.678237,1.868474,-0.036070,0.352049,0.102417
0.020000,1.712016,1.085487,1.715589,1.867593,-0.044065,-0.399777,0.105066
0.020000,1.749139,1.089452,1.752923,1.866703,-0.044483,-0.020883,0.107732
0.020000,1.786234,1.093514,1.790239,1.865805,-0.044903,-0.021007,0.110415
0.020000,1.823299,1.097674,1.827537,1.864908,-0.044838,0.003277,0.113116
0.020000,1.860338,1.101932,1.864820,1.864159,-0.037433,0.370214,0.115834
0.020000,1.897347,1.106290,1.902085,1.863238,-0.046051,-0.430886,0.118570
0.020000,1.934326,1.110746,1.939331,1.862309,-0.046482,-0.021556,0.121323
0.020000,1.971273,1.115303,1.976559,1.861370,-0.046915,-0.021650,0.124095
0.020000,2.008192,1.119960,2.013769,1.860533,-0.041849,0.253294,0.126884
0.020000,2.045079,1.124719,2.050962,1.859659,-0.043713,-0.093170,0.129692
0.020000,2.081934,1.129578,2.088136,1.858697,-0.048109,-0.219823,0.132518
0.020000,2.118756,1.134540,2.125291,1.857726,-0.048551,-0.022076,0.135362
0.020000,2.155546,1.139604,2.162428,1.856844,-0.044101,0.222465,0.138226
0.020000,2.192304,1.144771,2.199547,1.855961,-0.044146,-0.002229,0.141107
0.020000,2.229026,1.150042,2.236646,1.854966,-0.049776,-0.281524,0.144008
0.020000,2.265714,1.155417,2.273725,1.853961,-0.050224,-0.022387,0.146927
0.020000,2.302369,1.160897,2.310787,1.853094,-0.043326,0.344888,0.149866
0.020000,2.338988,1.166481,2.347830,1.852140,-0.047712,-0.219278,0.152824
0.020000,2.375570,1.172172,2.384852,1.851111,-0.051475,-0.188148,0.155801
0.020000,2.412116,1.177968,2.421854,1.850103,-0.050399,0.053819,0.158798
0.020000,2.448626,1.183872,2.458839,1.849249,-0.042705,0.384696,0.161815
0.020000,2.485098,1.189882,2.495803,1.848194,-0.052741,-0.501840,0.164851
0.020000,2.521531,1.196000,2.532746,1.847130,-0.053194,-0.022634,0.167907
0.020000,2.557927,1.202227,2.569671,1.846241,-0.044457,0.436875,0.170983
0.020000,2.594283,1.208562,2.606575,1.845209,-0.051585,-0.356442,0.174079
0.020000,2.630598,1.215007,2.643457,1.844120,-0.054471,-0.144286,0.177196
0.020000,2.666874,1.221562,2.680321,1.843170,-0.047497,0.348730,0.180333
0.020000,2.703109,1.228227,2.717164,1.842156,-0.050706,-0.160493,0.183490
0.020000,2.739301,1.235003,2.753985,1.841041,-0.055752,-0.252276,0.186668
0.020000,2.775452,1.241890,2.790786,1.840064,-0.048828,0.346195,0.189867
