dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000986,-1.000000,0.000263,0.026316,1.315789,65.789474,6.282199
0.020000,-0.000933,-1.000000,0.000316,0.002627,-1.184463,-125.012626,6.282252
0.020000,-0.000815,-1.000000,0.000434,0.005911,0.164209,67.433581,6.282370
0.020000,-0.000605,-1.000000,0.000644,0.010511,0.230033,3.291242,6.282580
0.020000,-0.000276,-1.000000,0.000973,0.016433,0.296075,3.302098,6.282909
0.020000,0.004146,-1.000000,0.005395,0.221135,10.235101,496.951260,0.000198
0.020000,0.017410,-0.999993,0.018659,0.663198,22.103135,593.401737,0.000830
0.020000,0.033993,-0.999972,0.035242,0.829142,8.297212,-690.296151,0.001622
0.020000,0.053894,-0.999931,0.055143,0.995040,8.294918,-0.114717,0.002576
0.020000,0.077115,-0.999858,0.078364,1.161032,8.299603,0.234245,0.003691
0.020000,0.103655,-0.999743,0.104905,1.327050,8.300895,0.064592,0.004971
0.020000,0.133523,-0.999573,0.134773,1.493418,8.318389,0.874702,0.006416
0.020000,0.166712,-0.999333,0.167963,1.659506,8.304396,-0.699621,0.008030
0.020000,0.203233,-0.999007,0.204485,1.826106,8.330022,1.281270,0.009813
0.020000,0.243082,-0.998577,0.244337,1.992572,8.323264,-0.337892,0.011770
0.020000,0.286263,-0.998023,0.287521,2.159225,8.332661,0.469839,0.013902
0.020000,0.332778,-0.997323,0.334041,2.325996,8.338585,0.296234,0.016213
0.020000,0.382634,-0.996452,0.383905,2.493194,8.359866,1.064043,0.018706
0.020000,0.435828,-0.995386,0.437109,2.660209,8.350745,-0.456038,0.021386
0.020000,0.492369,-0.994095,0.493665,2.827791,8.379097,1.417572,0.024256
0.020000,0.552256,-0.992551,0.553572,2.995350,8.377971,-0.056286,0.027321
0.020000,0.615493,-0.990720,0.616836,3.163192,8.392121,0.707494,0.030585
0.020000,0.682083,-0.988567,0.683461,3.331246,8.402670,0.527460,0.034054
0.020000,0.752035,-0.986055,0.753457,3.499821,8.428734,1.303198,0.037733
0.020000,0.825343,-0.983145,0.826823,3.668310,8.424451,-0.214144,0.041627
0.020000,0.902020,-0.979794,0.903574,3.837513,8.460145,1.784696,0.045744
0.020000,0.982064,-0.975955,0.983709,4.006786,8.463671,0.176307,0.050091
0.020000,1.065478,-0.971582,1.067238,4.176438,8.482592,0.946042,0.054673
0.020000,1.152269,-0.966623,1.154170,4.346612,8.508704,1.305608,0.059499
0.020000,1.242437,-0.961022,1.244512,4.517087,8.523769,0.753252,0.064578
0.020000,1.335986,-0.954722,1.338273,4.688042,8.547728,1.197918,0.069917
0.020000,1.432917,-0.947662,1.435461,4.859407,8.568272,1.027220,0.075527
0.020000,1.533234,-0.939774,1.536088,5.031324,8.595839,1.378361,0.081416
0.020000,1.636937,-0.930990,1.640162,5.203713,8.619442,1.180122,0.087597
0.020000,1.744028,-0.921236,1.747696,5.376707,8.649699,1.512856,0.094079
0.020000,1.854506,-0.910434,1.858701,5.550248,8.677064,1.368256,0.100874
0.020000,1.968373,-0.898500,1.973192,5.724532,8.714188,1.856218,0.107996
0.020000,2.085624,-0.885347,2.091178,5.899331,8.739961,1.288652,0.115457
0.020000,2.205980,-0.870914,2.212397,6.060925,8.079676,-33.014294,0.123254
0.020000,2.328876,-0.855185,2.336295,6.194921,6.699826,-68.992465,0.131363
0.020000,2.453747,-0.838154,2.462322,6.301356,5.321722,-68.905229,0.139759
0.020000,2.580025,-0.819834,2.589923,6.380019,3.933178,-69.427183,0.148414
0.020000,2.707146,-0.800252,2.718543,6.431011,2.549581,-69.179838,0.157297
0.020000,2.834539,-0.779455,2.847622,6.453958,1.147348,-70.111689,0.166376
0.020000,2.961912,-0.757461,2.976880,6.462920,0.448113,-34.961734,0.175635
0.020000,3.089254,-0.734243,3.106322,6.472068,0.457387,0.463691,0.185077
0.020000,3.216553,-0.709778,3.235950,6.481394,0.466304,0.445876,0.194705
0.020000,3.343793,-0.684038,3.365767,6.490891,0.474843,0.426928,0.204524
0.020000,3.470961,-0.656997,3.495778,6.500550,0.482979,0.406813,0.214536
0.020000,3.598042,-0.628630,3.625987,6.510421,0.493556,0.528864,0.224745
0.020000,3.725019,-0.598907,3.756397,6.520491,0.503466,0.495480,0.235155
0.020000,3.851874,-0.567804,3.887009,6.530617,0.506314,0.142429,0.245767
0.020000,3.978587,-0.535292,4.017826,6.540867,0.512498,0.309191,0.256586
0.020000,4.105140,-0.501344,4.148854,6.551374,0.525354,0.642805,0.267614
0.020000,4.231512,-0.465931,4.280094,6.561990,0.530793,0.271921,0.278854
0.020000,4.357677,-0.429027,4.411545,6.572588,0.529925,-0.043379,0.290308
0.020000,4.483618,-0.390603,4.543217,6.583574,0.549292,0.968313,0.301979
0.020000,4.609302,-0.350633,4.675104,6.594346,0.538577,-0.535714,0.313868
0.020000,4.734709,-0.309087,4.807214,6.605489,0.557159,0.929068,0.325977
0.020000,4.859807,-0.265941,4.939543,6.616491,0.550103,-0.352767,0.338308
0.020000,4.984568,-0.221166,5.072095,6.627589,0.554918,0.240725,0.350862
0.020000,5.108962,-0.174736,5.204872,6.638853,0.563186,0.413400,0.363639
0.020000,5.232956,-0.126626,5.337872,6.649980,0.556367,-0.340934,0.376639
0.020000,5.356514,-0.076811,5.471094,6.661121,0.557048,0.034043,0.389863
0.020000,5.479603,-0.025267,5.604539,6.672246,0.556240,-0.040378,0.403310
0.020000,5.602184,0.028029,5.738206,6.683337,0.554556,-0.084241,0.416978
0.020000,5.724221,0.083100,5.872093,6.694357,0.550990,-0.178290,0.430866
0.020000,5.845672,0.139966,6.006198,6.705220,0.543149,-0.392062,0.444971
0.020000,5.966495,0.198646,6.140516,6.715941,0.536034,-0.355711,0.459291
0.020000,6.086647,0.259157,6.275046,6.726485,0.527210,-0.441237,0.473823
0.020000,6.206085,0.321516,6.409783,6.736847,0.518105,-0.455251,0.488561
0.020000,6.324762,0.385737,6.544722,6.746962,0.505729,-0.618757,0.503501
0.020000,6.442631,0.451832,6.679858,6.756775,0.490681,-0.752441,0.518637
0.020000,6.559644,0.519809,6.815183,6.766268,0.474655,-0.801269,0.533964
0.020000,6.675752,0.589677,6.950691,6.775406,0.456863,-0.889602,0.549474
0.020000,6.790904,0.661440,7.086375,6.784175,0.438457,-0.920320,0.565159
0.020000,6.905052,0.735101,7.222226,6.792568,0.419659,-0.939888,0.581012
0.020000,7.018142,0.810658,7.358235,6.800425,0.392839,-1.340994,0.597022
0.020000,7.130123,0.888109,7.494390,6.807796,0.368544,-1.214769,0.613180
0.020000,7.240946,0.967447,7.630685,6.814718,0.346111,-1.121614,0.629475
0.020000,7.350557,1.048661,7.767105,6.820988,0.313502,-1.630471,0.645897
0.020000,7.458905,1.131741,7.903639,6.826714,0.286323,-1.358958,0.662433
0.020000,7.565940,1.216670,8.040275,6.831819,0.255230,-1.554627,0.679070
0.020000,7.671612,1.303429,8.177000,6.836254,0.221773,-1.672851,0.695797
0.020000,7.775873,1.391997,8.313802,6.840065,0.190509,-1.563201,0.712600
0.020000,7.878675,1.482348,8.450664,6.843140,0.153746,-1.838169,0.729465
0.020000,7.979971,1.574455,8.587576,6.845556,0.120837,-1.645472,0.746378
0.020000,8.079718,1.668286,8.724520,6.847219,0.083146,-1.884532,0.763324
0.020000,8.177873,1.763809,8.861483,6.848178,0.047961,-1.759229,0.780289
0.020000,8.274397,1.860986,8.998451,6.848397,0.010932,-1.851456,0.797259
0.020000,8.369251,1.959780,9.135409,6.847882,-0.025766,-1.834912,0.814218
0.020000,8.462400,2.060148,9.272342,6.846648,-0.061709,-1.797152,0.831153
0.020000,8.553812,2.162049,9.409235,6.844673,-0.098737,-1.851399,0.848048
0.020000,8.643456,2.265437,9.546076,6.842007,-0.133275,-1.726885,0.864890
0.020000,8.731307,2.370265,9.682848,6.838623,-0.169194,-1.795984,0.881664
0.020000,8.817341,2.476485,9.819540,6.834573,-0.202508,-1.665700,0.898357
0.020000,8.901536,2.584049,9.956137,6.829868,-0.235270,-1.638090,0.914956
0.020000,8.983875,2.692906,10.092627,6.824498,-0.268471,-1.660031,0.931448
0.020000,9.064345,2.803005,10.228998,6.818580,-0.295935,-1.373183,0.947821
0.020000,9.142933,2.914294,10.365239,6.812003,-0.328830,-1.644759,0.964062
0.020000,9.219631,3.026723,10.501337,6.804937,-0.353298,-1.223436,0.980163
0.020000,9.294434,3.140241,10.637285,6.797375,-0.378091,-1.239617,0.996111
0.020000,9.367339,3.254794,10.773070,6.789250,-0.406252,-1.408055,1.011898
0.020000,9.438348,3.370332,10.908685,6.780737,-0.425646,-0.969704,1.027515
0.020000,9.507463,3.486806,11.044121,6.771831,-0.445316,-0.983497,1.042953
0.020000,9.574691,3.604166,11.179372,6.762547,-0.464191,-0.943780,1.058204
0.020000,9.640038,3.722362,11.314430,6.752901,-0.482322,-0.906546,1.073264
0.020000,9.703517,3.841347,11.449289,6.742931,-0.498484,-0.808082,1.088124
0.020000,9.765139,3.961074,11.583944,6.732740,-0.509559,-0.553756,1.102780
0.020000,9.824920,4.081498,11.718390,6.722316,-0.521209,-0.582467,1.117228
0.020000,9.882875,4.202576,11.852624,6.711694,-0.531105,-0.494834,1.131463
0.020000,9.939025,4.324265,11.986642,6.700908,-0.539273,-0.408386,1.145482
0.020000,9.993387,4.446523,12.120442,6.689993,-0.545743,-0.323487,1.159283
0.020000,10.045984,4.569312,12.254021,6.678982,-0.550552,-0.240465,1.172863
0.020000,10.096837,4.692592,12.387378,6.667835,-0.557364,-0.340595,1.186221
0.020000,10.145971,4.816327,12.520511,6.656666,-0.558460,-0.054788,1.199356
0.020000,10.193409,4.940484,12.653422,6.645520,-0.557285,0.058723,1.212268
0.020000,10.239177,5.065028,12.786110,6.634399,-0.556050,0.061777,1.224956
0.020000,10.283301,5.189927,12.918573,6.623178,-0.561038,-0.249408,1.237421
0.020000,10.325807,5.315151,13.050815,6.612067,-0.555574,0.273168,1.249663
0.020000,10.366723,5.440673,13.182837,6.601103,-0.548176,0.369911,1.261685
0.020000,10.406075,5.566461,13.314637,6.589987,-0.555823,-0.382324,1.273487
0.020000,10.443891,5.692494,13.446221,6.579244,-0.537141,0.934091,1.285071
0.020000,10.480198,5.818744,13.577588,6.568327,-0.545852,-0.435538,1.296440
0.020000,10.515024,5.945190,13.708743,6.557743,-0.529228,0.831169,1.307595
0.020000,10.548398,6.071811,13.839688,6.547239,-0.525159,0.203455,1.318540
0.020000,10.580346,6.198582,13.970422,6.536727,-0.525622,-0.023154,1.329276
0.020000,10.610897,6.325487,14.100953,6.526531,-0.509771,0.792540,1.339807
0.020000,10.640077,6.452507,14.231282,6.516464,-0.503362,0.320479,1.350137
0.020000,10.667913,6.579626,14.361413,6.506535,-0.496455,0.345328,1.360267
0.020000,10.694433,6.706825,14.491347,6.496730,-0.490265,0.309509,1.370202
0.020000,10.719663,6.834090,14.621089,6.487084,-0.482316,0.397469,1.379945
0.020000,10.743629,6.961408,14.750642,6.477662,-0.471079,0.561854,1.389498
0.020000,10.766357,7.088764,14.880011,6.468414,-0.462373,0.435285,1.398867
0.020000,10.787872,7.216146,15.009197,6.459316,-0.454948,0.371260,1.408054
0.020000,10.808174,7.343384,15.138044,6.442372,-0.847196,-19.612426,1.417051
0.020000,10.827230,7.470030,15.266116,6.403610,-1.938067,-54.543557,1.425833
0.020000,10.845001,7.595518,15.392856,6.336997,-3.330639,-69.628578,1.434369
