dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.002934,0.999996,0.000260,0.026042,1.302083,65.104167,6.280251
0.020000,0.002807,0.999996,0.000388,0.006365,-0.983819,-114.295107,6.280378
0.020000,0.002521,0.999997,0.000674,0.014325,0.397990,69.090437,6.280665
0.020000,0.002011,0.999998,0.001184,0.025478,0.557631,7.982062,6.281174
0.020000,0.001214,0.999999,0.001981,0.039837,0.717955,8.016189,6.281971
0.020000,0.000066,1.000000,0.003129,0.057425,0.879395,8.071994,6.283119
0.020000,0.010501,1.000008,0.013565,0.521776,23.217547,1116.907590,0.001470
0.020000,0.024198,1.000041,0.027261,0.684848,8.153600,-753.197331,0.003394
0.020000,0.040628,1.000116,0.043691,0.821499,6.832590,-66.050511,0.005712
0.020000,0.059786,1.000251,0.062850,0.957927,6.821378,-0.560585,0.008431
0.020000,0.081660,1.000470,0.084725,1.093769,6.792114,-1.463193,0.011554
0.020000,0.106245,1.000797,0.109312,1.229326,6.777832,-0.714126,0.015090
0.020000,0.133539,1.001263,0.136610,1.364910,6.779226,0.069698,0.019048
0.020000,0.163520,1.001900,0.166597,1.499366,6.722796,-2.821505,0.023434
0.020000,0.196185,1.002744,0.199274,1.633838,6.723573,0.038870,0.028259
0.020000,0.231515,1.003836,0.234621,1.767321,6.674179,-2.469712,0.033533
0.020000,0.269503,1.005219,0.272633,1.900640,6.665941,-0.411875,0.039269
0.020000,0.310131,1.006942,0.313298,2.033237,6.629853,-1.804431,0.045479
0.020000,0.353383,1.009055,0.356602,2.165176,6.596918,-1.646752,0.052177
0.020000,0.399240,1.011615,0.402530,2.296414,6.561938,-1.748955,0.059377
0.020000,0.447672,1.014681,0.451059,2.426461,6.502316,-2.981136,0.067095
0.020000,0.498667,1.018319,0.502184,2.556258,6.489849,-0.623343,0.075347
0.020000,0.552190,1.022595,0.555878,2.684670,6.420634,-3.460758,0.084151
0.020000,0.608217,1.027585,0.612127,2.812444,6.388678,-1.597784,0.093525
0.020000,0.666720,1.033366,0.670914,2.939359,6.345751,-2.146367,0.103489
0.020000,0.727662,1.040020,0.732218,3.065208,6.292443,-2.665375,0.114062
0.020000,0.791002,1.047635,0.796014,3.189799,6.229541,-3.145133,0.125263
0.020000,0.856705,1.056303,0.862287,3.313661,6.193112,-1.821419,0.137116
0.020000,0.924723,1.066121,0.931010,3.436128,6.123380,-3.486609,0.149639
0.020000,0.995013,1.077193,1.002166,3.557837,6.085417,-1.898146,0.162855
0.020000,1.067526,1.089625,1.075737,3.678538,6.035081,-2.516797,0.176785
0.020000,1.142206,1.103531,1.151701,3.798172,5.981699,-2.669116,0.191449
0.020000,1.218777,1.118981,1.229815,3.905711,5.376935,-30.238213,0.206822
0.020000,1.296765,1.135996,1.309637,3.991125,4.270695,-55.311964,0.222833
0.020000,1.375693,1.154567,1.390721,4.054176,3.152549,-55.907332,0.239402
0.020000,1.455104,1.174667,1.472636,4.095770,2.079682,-53.643317,0.256443
0.020000,1.534549,1.196238,1.554958,4.116072,1.015136,-53.227302,0.273861
0.020000,1.613588,1.219196,1.637263,4.115285,-0.039346,-52.724124,0.291555
0.020000,1.692001,1.243493,1.719355,4.104564,-0.536076,-24.836479,0.309462
0.020000,1.769777,1.269138,1.801249,4.094733,-0.491561,2.225734,0.327565
0.020000,1.846906,1.296134,1.882967,4.085862,-0.443510,2.402569,0.345846
0.020000,1.923381,1.324488,1.964528,4.078088,-0.388699,2.740523,0.364283
0.020000,1.999194,1.354204,2.045957,4.071422,-0.333302,2.769884,0.382854
0.020000,2.074337,1.385284,2.127274,4.065846,-0.278798,2.725193,0.401537
0.020000,2.148804,1.417730,2.208503,4.061476,-0.218523,3.013727,0.420306
0.020000,2.222592,1.451546,2.289671,4.058360,-0.155812,3.135569,0.439136
0.020000,2.295698,1.486731,2.370803,4.056635,-0.086225,3.479344,0.458002
0.020000,2.368120,1.523286,2.451928,4.056234,-0.020076,3.307434,0.476877
0.020000,2.439854,1.561209,2.533069,4.057065,0.041546,3.081139,0.495734
0.020000,2.510901,1.600497,2.614255,4.059306,0.112066,3.525994,0.514545
0.020000,2.581260,1.641150,2.695514,4.062958,0.182584,3.525882,0.533286
0.020000,2.650930,1.683160,2.776871,4.067803,0.242285,2.985049,0.551928
0.020000,2.719914,1.726525,2.858352,4.074065,0.313058,3.538655,0.570445
0.020000,2.788210,1.771236,2.939982,4.081534,0.373478,3.021003,0.588813
0.020000,2.855822,1.817287,3.021787,4.090214,0.434003,3.026251,0.607007
0.020000,2.922751,1.864667,3.103789,4.100118,0.495170,3.058332,0.625004
0.020000,2.988997,1.913367,3.186010,4.111048,0.546515,2.567278,0.642781
0.020000,3.054565,1.963375,3.268472,4.123103,0.602750,2.811707,0.660318
0.020000,3.119456,2.014678,3.351193,4.136051,0.647384,2.231729,0.677596
0.020000,3.183673,2.067261,3.434192,4.149934,0.694176,2.339620,0.694596
0.020000,3.247218,2.121109,3.517484,4.164607,0.733626,1.972493,0.711303
0.020000,3.310095,2.176205,3.601084,4.180020,0.770677,1.852513,0.727701
0.020000,3.372307,2.232530,3.685006,4.196086,0.803294,1.630879,0.743779
0.020000,3.433858,2.290064,3.769260,4.212720,0.831712,1.420881,0.759523
0.020000,3.494752,2.348789,3.853858,4.229851,0.856527,1.240779,0.774925
0.020000,3.554995,2.408681,3.938806,4.247404,0.877680,1.057630,0.789976
0.020000,3.614589,2.469718,4.024111,4.265285,0.894036,0.817786,0.804670
0.020000,3.673542,2.531878,4.109781,4.283480,0.909728,0.784597,0.819000
0.020000,3.731858,2.595135,4.195817,4.301819,0.916969,0.362057,0.832962
0.020000,3.789546,2.659466,4.282225,4.320390,0.928525,0.577812,0.846554
