dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.002934,-0.999996,0.000260,0.026042,1.302083,65.104167,6.280251
0.020000,-0.002807,-0.999996,0.000388,0.006365,-0.983819,-114.295107,6.280378
0.020000,-0.002521,-0.999997,0.000674,0.014325,0.397990,69.090437,6.280665
0.020000,-0.002011,-0.999998,0.001184,0.025478,0.557631,7.982062,6.281174
0.020000,-0.001214,-0.999999,0.001981,0.039837,0.717955,8.016189,6.281971
0.020000,-0.000066,-1.000000,0.003129,0.057425,0.879395,8.071994,6.283119
0.020000,0.013441,-0.999990,0.016635,0.675317,30.894597,1500.760121,0.001470
0.020000,0.030985,-0.999947,0.034180,0.877244,10.096389,-1039.910434,0.003394
0.020000,0.052052,-0.999852,0.055247,1.053360,8.805773,-64.530791,0.005712
0.020000,0.076647,-0.999678,0.079843,1.229779,8.820937,0.758206,0.008431
0.020000,0.104769,-0.999397,0.107966,1.406139,8.817995,-0.147070,0.011554
0.020000,0.136424,-0.998975,0.139624,1.582927,8.839423,1.071396,0.015090
0.020000,0.171632,-0.998374,0.174837,1.760654,8.886368,2.347217,0.019048
0.020000,0.210382,-0.997551,0.213596,1.937935,8.864057,-1.115514,0.023434
0.020000,0.252695,-0.996457,0.255923,2.116355,8.920978,2.846031,0.028259
0.020000,0.298568,-0.995040,0.301818,2.294725,8.918473,-0.125246,0.033533
0.020000,0.348020,-0.993239,0.351302,2.474222,8.974885,2.820583,0.039269
0.020000,0.401057,-0.990991,0.404387,2.654238,9.000803,1.295891,0.045479
0.020000,0.457688,-0.988223,0.461086,2.834967,9.036447,1.782237,0.052177
0.020000,0.517924,-0.984861,0.521416,3.016469,9.075076,1.931421,0.059377
0.020000,0.581760,-0.980819,0.585380,3.198205,9.086802,0.586330,0.067095
0.020000,0.649219,-0.976007,0.653010,3.381527,9.166125,3.966118,0.075347
0.020000,0.720294,-0.970327,0.724311,3.565044,9.175840,0.485768,0.084151
0.020000,0.794995,-0.963674,0.799308,3.749841,9.239851,3.200561,0.093525
0.020000,0.873328,-0.955934,0.878022,3.935723,9.294119,2.713392,0.103489
0.020000,0.955291,-0.946984,0.960472,4.122497,9.338681,2.228109,0.114062
0.020000,1.040874,-0.936695,1.046672,4.309970,9.373651,1.748460,0.125263
0.020000,1.130079,-0.924925,1.136650,4.498909,9.446953,3.665140,0.137116
0.020000,1.222886,-0.911528,1.230419,4.688442,9.476627,1.483672,0.149639
0.020000,1.319286,-0.896344,1.328007,4.879435,9.549643,3.650816,0.162855
0.020000,1.419258,-0.879203,1.429438,5.071523,9.604427,2.739200,0.176785
0.020000,1.522769,-0.859929,1.534729,5.264552,9.651452,2.351229,0.191449
0.020000,1.629478,-0.838396,1.643589,5.442990,8.921898,-36.477684,0.206822
0.020000,1.738752,-0.814555,1.755433,5.592230,7.461988,-72.995482,0.222833
0.020000,1.849937,-0.788392,1.869654,5.711054,5.941208,-76.038999,0.239402
0.020000,1.962387,-0.759930,1.985651,5.799822,4.438418,-75.139507,0.256443
0.020000,2.075451,-0.729230,2.102808,5.857866,2.902203,-76.810768,0.273861
0.020000,2.188471,-0.696401,2.220500,5.884600,1.336699,-78.275187,0.291555
0.020000,2.301093,-0.661502,2.338406,5.895273,0.533629,-40.153485,0.309462
0.020000,2.413255,-0.624519,2.456507,5.905062,0.489469,-2.208024,0.327565
0.020000,2.524891,-0.585444,2.574785,5.913886,0.441165,-2.415214,0.345846
0.020000,2.635940,-0.544271,2.693220,5.921763,0.393855,-2.365487,0.364283
0.020000,2.746333,-0.501001,2.811791,5.928547,0.339205,-2.732489,0.382854
0.020000,2.856004,-0.455639,2.930472,5.934062,0.275736,-3.173445,0.401537
0.020000,2.964884,-0.408198,3.049239,5.938342,0.214036,-3.085000,0.420306
0.020000,3.072907,-0.358693,3.168066,5.941348,0.150282,-3.187719,0.439136
0.020000,3.180012,-0.307145,3.286930,5.943190,0.092102,-2.909013,0.458002
0.020000,3.286134,-0.253580,3.405804,5.943702,0.025593,-3.325426,0.476877
0.020000,3.391208,-0.198032,3.524658,5.942710,-0.049576,-3.758438,0.495734
0.020000,3.495179,-0.140536,3.643467,5.940462,-0.112409,-3.141655,0.514545
0.020000,3.597991,-0.081133,3.762207,5.936970,-0.174634,-3.111272,0.533286
0.020000,3.699589,-0.019870,3.880846,5.931955,-0.250716,-3.804103,0.551928
0.020000,3.799927,0.043204,3.999362,5.925807,-0.307407,-2.834560,0.570445
0.020000,3.898959,0.108036,4.117728,5.918312,-0.374764,-3.367850,0.588813
0.020000,3.996646,0.174569,4.235920,5.909584,-0.436392,-3.081395,0.607007
0.020000,4.092952,0.242746,4.353915,5.899773,-0.490566,-2.708681,0.625004
0.020000,4.187845,0.312504,4.471690,5.888743,-0.551463,-3.044854,0.642781
0.020000,4.281302,0.383781,4.589226,5.876800,-0.597192,-2.286432,0.660318
0.020000,4.373300,0.456514,4.706502,5.863784,-0.650761,-2.678466,0.677596
0.020000,4.463823,0.530637,4.823501,5.849943,-0.692065,-2.065198,0.694596
0.020000,4.552860,0.606085,4.940206,5.835257,-0.734301,-2.111796,0.711303
0.020000,4.640405,0.682794,5.056603,5.819851,-0.770286,-1.799250,0.727701
0.020000,4.726454,0.760699,5.172679,5.803794,-0.802845,-1.627958,0.743779
0.020000,4.811010,0.839736,5.288422,5.787160,-0.831712,-1.443325,0.759523
0.020000,4.894078,0.919842,5.403823,5.770035,-0.856238,-1.226333,0.774925
0.020000,4.975668,1.000957,5.518873,5.752500,-0.876790,-1.027572,0.789976
0.020000,5.055792,1.083019,5.633564,5.734595,-0.895236,-0.922318,0.804670
0.020000,5.134468,1.165973,5.747894,5.716466,-0.906432,-0.559801,0.819000
