dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.798584,11.000001,0.000260,0.026042,1.302083,65.104167,3.140177
0.020000,13.798696,11.000001,0.000373,0.005611,-1.021509,-116.179615,3.140289
0.020000,13.798949,11.000001,0.000625,0.012631,0.350996,68.625260,3.140542
0.020000,13.799398,11.000000,0.001075,0.022475,0.492174,7.058867,3.140991
0.020000,13.799159,11.000000,0.001314,0.011954,-0.526029,-50.910126,3.141695
0.020000,13.790799,10.999995,0.009675,0.418033,20.303924,1041.497636,3.142711
0.020000,13.779659,10.999975,0.020814,0.556974,6.947063,-667.843058,3.144072
0.020000,13.765747,10.999928,0.034726,0.695600,6.931277,-0.789294,3.145783
0.020000,13.749066,10.999841,0.051408,0.834102,6.925144,-0.306643,3.147853
0.020000,13.729629,10.999696,0.070845,0.971850,6.887395,-1.887457,3.150288
0.020000,13.707442,10.999472,0.093034,1.109425,6.878731,-0.433195,3.153101
0.020000,13.682522,10.999145,0.117955,1.246094,6.833467,-2.263172,3.156302
0.020000,13.654877,10.998689,0.145604,1.382438,6.817177,-0.814499,3.159907
0.020000,13.624534,10.998072,0.175953,1.517459,6.751050,-3.306371,3.163929
0.020000,13.591504,10.997261,0.208993,1.651990,6.726576,-1.223688,3.168390
0.020000,13.555812,10.996217,0.244701,1.785397,6.670325,-2.812553,3.173308
0.020000,13.517481,10.994898,0.283054,1.917642,6.612262,-2.903175,3.178707
0.020000,13.476546,10.993257,0.324023,2.048435,6.539651,-3.630544,3.184612
0.020000,13.433034,10.991244,0.367581,2.177895,6.473009,-3.332072,3.191054
0.020000,13.386985,10.988804,0.413695,2.305706,6.390529,-4.124035,3.198066
0.020000,13.338441,10.985875,0.462327,2.431609,6.295152,-4.768846,3.205682
0.020000,13.287449,10.982392,0.513437,2.555530,6.196067,-4.954247,3.213945
0.020000,13.234062,10.978283,0.566983,2.677260,6.086481,-5.479266,3.222902
0.020000,13.178346,10.973473,0.622906,2.796163,5.945179,-7.065117,3.232601
0.020000,13.120366,10.967876,0.681156,2.912482,5.815918,-6.463070,3.243102
0.020000,13.060205,10.961405,0.741663,3.025386,5.645186,-8.536577,3.254468
0.020000,12.997949,10.953963,0.804362,3.134941,5.477760,-8.371319,3.266771
0.020000,12.933706,10.945447,0.869168,3.240280,5.266985,-10.538738,3.280089
0.020000,12.867589,10.935749,0.935992,3.341196,5.045798,-11.059334,3.294513
