dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.801416,12.999999,0.000260,0.026042,1.302083,65.104167,3.140177
0.020000,13.801304,12.999999,0.000373,0.005611,-1.021509,-116.179615,3.140289
0.020000,13.801051,12.999999,0.000625,0.012631,0.350996,68.625260,3.140542
0.020000,13.800602,13.000000,0.001075,0.022475,0.492174,7.058867,3.140991
0.020000,13.798956,13.000000,0.002721,0.082298,2.991143,124.948495,3.141695
0.020000,13.788563,12.999994,0.013113,0.519637,21.866984,943.792029,3.142711
0.020000,13.774701,12.999969,0.026975,0.693072,8.671706,-659.763883,3.144072
0.020000,13.757367,12.999911,0.044310,0.866741,8.683478,0.588570,3.145783
0.020000,13.736546,12.999802,0.065131,1.041056,8.715730,1.612590,3.147853
0.020000,13.712238,12.999620,0.089439,1.215403,8.717361,0.081554,3.150288
0.020000,13.684426,12.999340,0.117253,1.390696,8.764659,2.364917,3.153101
0.020000,13.653104,12.998929,0.148577,1.566217,8.776060,0.570040,3.156302
0.020000,13.618251,12.998354,0.183435,1.742907,8.834490,2.921488,3.159907
0.020000,13.579864,12.997573,0.221830,1.919739,8.841584,0.354738,3.163929
0.020000,13.537916,12.996543,0.263790,2.098012,8.913677,3.604629,3.168390
0.020000,13.492392,12.995211,0.309334,2.277197,8.959217,2.276983,3.173308
0.020000,13.443270,12.993520,0.358485,2.457542,9.017288,2.903569,3.178707
0.020000,13.390533,12.991407,0.411265,2.639004,9.073057,2.788464,3.184612
0.020000,13.334151,12.988798,0.467707,2.822096,9.154603,4.077293,3.191054
0.020000,13.274099,12.985615,0.527843,3.006813,9.235885,4.064077,3.198066
0.020000,13.210350,12.981769,0.591709,3.193268,9.322728,4.342188,3.205682
0.020000,13.142870,12.977159,0.659346,3.381862,9.429720,5.349577,3.213945
0.020000,13.071623,12.971676,0.730804,3.572883,9.551038,6.065904,3.222902
0.020000,12.996580,12.965196,0.806126,3.766111,9.661411,5.518640,3.232601
0.020000,12.917695,12.957581,0.885377,3.962575,9.823190,8.088959,3.243102
0.020000,12.834933,12.948678,0.968616,4.161945,9.968505,7.265744,3.254468
0.020000,12.748247,12.938314,1.055920,4.365203,10.162868,9.718155,3.266771
0.020000,12.657597,12.926296,1.147363,4.572146,10.347177,9.215449,3.280089
0.020000,12.562938,12.912409,1.243035,4.783595,10.572455,11.263886,3.294513
0.020000,12.464224,12.896409,1.343038,5.000122,10.826360,12.695277,3.310143
0.020000,12.361409,12.878022,1.447483,5.222291,11.108446,14.104291,3.327088
0.020000,12.254462,12.856940,1.556489,5.450287,11.399764,14.565880,3.345472
0.020000,12.143651,12.832885,1.669881,5.669588,10.965048,-21.735791,3.365375
0.020000,12.029584,12.805644,1.787156,5.863734,9.707319,-62.886458,3.386819
0.020000,11.912890,12.775019,1.907801,6.032288,8.427730,-63.979458,3.409811
0.020000,11.794225,12.740846,2.031289,6.174378,7.104493,-66.161821,3.434344
0.020000,11.674279,12.702994,2.157066,6.288830,5.722599,-69.094694,3.460385
0.020000,11.553776,12.661389,2.284549,6.374161,4.266529,-72.803533,3.487872
0.020000,11.433162,12.615901,2.413456,6.445344,3.559144,-35.369225,3.516784
0.020000,11.312593,12.566301,2.543828,6.518600,3.662808,5.183184,3.547160
0.020000,11.192278,12.512369,2.675678,6.592497,3.694863,1.602749,3.579016
0.020000,11.072450,12.453893,2.809013,6.666751,3.712671,0.890418,3.612358
0.020000,10.953390,12.390681,2.943813,6.740024,3.663658,-2.450646,3.647165
0.020000,10.835423,12.322573,3.080029,6.810822,3.539896,-6.188094,3.683389
0.020000,10.718914,12.249446,3.217586,6.877833,3.350565,-9.466578,3.720953
