dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,1.000000,0.000256,0.025641,1.282051,64.102564,0.000000
0.020000,0.000000,1.000000,0.000256,0.000000,-1.282051,-128.205128,0.000000
0.020000,0.000000,1.000000,0.000256,0.000000,0.000000,64.102564,0.000000
0.020000,0.003692,1.000000,0.003949,0.184615,9.230769,461.538462,0.000000
0.020000,0.010103,1.000000,0.010359,0.320513,6.794872,-121.794872,0.000000
0.020000,0.019333,1.000000,0.019590,0.461538,7.051282,12.820513,0.000000
0.020000,0.031641,1.000000,0.031897,0.615385,7.692308,32.051282,0.000000
0.020000,0.047026,1.000000,0.047282,0.769231,7.692308,-0.000000,0.000000
0.020000,0.065487,1.000000,0.065744,0.923077,7.692308,0.000000,0.000000
0.020000,0.087026,1.000000,0.087282,1.076923,7.692308,0.000000,0.000000
0.020000,0.111641,1.000000,0.111897,1.230769,7.692308,0.000000,0.000000
0.020000,0.139333,1.000000,0.139590,1.384615,7.692308,-0.000000,0.000000
0.020000,0.170103,1.000000,0.170359,1.538462,7.692308,-0.000000,0.000000
0.020000,0.203692,1.000000,0.203949,1.679487,7.051282,-32.051282,0.000000
0.020000,0.239590,1.000000,0.239846,1.794872,5.769231,-64.102564,0.000000
0.020000,0.277282,1.000000,0.277538,1.884615,4.487179,-64.102564,0.000000
0.020000,0.316256,1.000000,0.316513,1.948718,3.205128,-64.102564,0.000000
0.020000,0.356000,1.000000,0.356256,1.987179,1.923077,-64.102564,0.000000
0.020000,0.396000,1.000000,0.396256,2.000000,0.641026,-64.102564,0.000000
0.020000,0.436000,1.000000,0.436256,2.000000,-0.000000,-32.051282,0.000000
0.020000,0.476000,1.000000,0.476256,2.000000,0.000000,0.000000,0.000000
0.020000,0.516000,1.000000,0.516256,2.000000,0.000000,0.000000,0.000000
0.020000,0.556000,1.000000,0.556256,2.000000,-0.000000,-0.000000,0.000000
0.020000,0.596000,1.000000,0.596256,2.000000,-0.000000,-0.000000,0.000000
0.020000,0.636000,1.000000,0.636256,2.000000,0.000000,0.000000,0.000000
0.020000,0.676000,1.000000,0.676256,2.000000,0.000000,-0.000000,0.000000
0.020000,0.716000,1.000000,0.716256,2.000000,-0.000000,-0.000000,0.000000
0.020000,0.756000,1.000000,0.756256,2.000000,0.000000,0.000000,0.000000
0.020000,0.796000,1.000000,0.796256,2.000000,0.000000,-0.000000,0.000000
0.020000,0.836000,1.000000,0.836256,2.000000,-0.000000,-0.000000,0.000000
0.020000,0.876000,1.000000,0.876256,2.000000,0.000000,0.000000,0.000000
0.020000,0.916000,1.000000,0.916256,2.000000,0.000000,-0.000000,0.000000
0.020000,0.956000,1.000000,0.956256,2.000000,-0.000000,-0.000000,0.000000
0.020000,0.996000,1.000000,0.996256,2.000000,0.000000,0.000000,0.000000
0.020000,1.036000,1.000000,1.036256,2.000000,-0.000000,-0.000000,0.000000
0.020000,1.076000,1.000000,1.076256,2.000000,0.000000,0.000000,0.000000
0.020000,1.116000,1.000000,1.116256,2.000000,0.000000,0.000000,0.000000
