dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000256,0.025641,1.282051,64.102564,0.000000
0.020000,0.000000,0.000000,0.001282,0.076923,2.564103,64.102564,0.000000
0.020000,0.000000,0.000000,0.003590,0.153846,3.846154,64.102564,0.000000
0.020000,0.003692,0.000000,0.007692,0.256410,5.128205,64.102564,0.000000
0.020000,0.010103,0.000000,0.014103,0.384615,6.410256,64.102564,0.000000
0.020000,0.019333,0.000000,0.023333,0.538462,7.692308,64.102564,0.000000
0.020000,0.031641,0.000000,0.035641,0.692308,7.692308,0.000000,0.000000
0.020000,0.047026,0.000000,0.051026,0.846154,7.692308,-0.000000,0.000000
0.020000,0.065487,0.000000,0.069487,1.000000,7.692308,0.000000,0.000000
0.020000,0.087026,0.000000,0.091026,1.153846,7.692308,0.000000,0.000000
0.020000,0.111641,0.000000,0.115641,1.307692,7.692308,-0.000000,0.000000
0.020000,0.139333,0.000000,0.143333,1.461538,7.692308,0.000000,0.000000
0.020000,0.170103,0.000000,0.174103,1.615385,7.692308,-0.000000,0.000000
0.020000,0.203692,0.000000,0.207692,1.743590,6.410256,-64.102564,0.000000
0.020000,0.239590,0.000000,0.243590,1.846154,5.128205,-64.102564,0.000000
0.020000,0.277282,0.000000,0.281282,1.923077,3.846154,-64.102564,0.000000
0.020000,0.316256,0.000000,0.320256,1.974359,2.564103,-64.102564,0.000000
0.020000,0.356000,0.000000,0.360000,2.000000,1.282051,-64.102564,0.000000
0.020000,0.396000,0.000000,0.400000,2.000000,0.000000,-64.102564,0.000000
0.020000,0.436000,0.000000,0.440000,2.000000,0.000000,0.000000,0.000000
0.020000,0.476000,0.000000,0.480000,2.000000,0.000000,0.000000,0.000000
0.020000,0.516000,0.000000,0.520000,2.000000,0.000000,0.000000,0.000000
0.020000,0.556000,0.000000,0.560000,2.000000,0.000000,0.000000,0.000000
0.020000,0.596000,0.000000,0.600000,2.000000,0.000000,0.000000,0.000000
0.020000,0.636000,0.000000,0.640000,2.000000,0.000000,0.000000,0.000000
0.020000,0.676000,0.000000,0.680000,2.000000,0.000000,0.000000,0.000000
0.020000,0.716000,0.000000,0.720000,2.000000,0.000000,0.000000,0.000000
0.020000,0.756000,0.000000,0.760000,2.000000,0.000000,0.000000,0.000000
0.020000,0.796000,0.000000,0.800000,2.000000,0.000000,0.000000,0.000000
0.020000,0.836000,0.000000,0.840000,2.000000,0.000000,0.000000,0.000000
0.020000,0.876000,0.000000,0.880000,2.000000,0.000000,0.000000,0.000000
0.020000,0.916000,0.000000,0.920000,2.000000,0.000000,0.000000,0.000000
0.020000,0.956000,0.000000,0.960000,2.000000,0.000000,0.000000,0.000000
0.020000,0.996000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000
0.020000,1.036000,0.000000,1.040000,2.000000,0.000000,0.000000,0.000000
0.020000,1.076000,0.000000,1.080000,2.000000,0.000000,0.000000,0.000000
0.020000,1.116000,0.000000,1.120000,2.000000,0.000000,0.000000,0.000000
0.020000,1.156000,0.000000,1.160000,2.000000,0.000000,0.000000,0.000000
0.020000,1.196000,0.000000,1.200000,2.000000,0.000000,0.000000,0.000000
0.020000,1.236000,0.000000,1.240000,2.000000,0.000000,0.000000,0.000000
0.020000,1.276000,0.000000,1.280000,2.000000,0.000000,0.000000,0.000000
0.020000,1.316000,0.000000,1.320000,2.000000,0.000000,0.000000,0.000000
0.020000,1.356000,0.000000,1.360000,2.000000,0.000000,0.000000,0.000000
0.020000,1.396000,0.000000,1.400000,2.000000,0.000000,0.000000,0.000000
0.020000,1.436000,0.000000,1.440000,2.000000,0.000000,0.000000,0.000000
0.020000,1.476000,0.000000,1.480000,2.000000,0.000000,0.000000,0.000000
0.020000,1.516000,0.000000,1.520000,2.000000,0.000000,0.000000,0.000000
0.020000,1.556000,0.000000,1.560000,2.000000,0.000000,0.000000,0.000000
0.020000,1.596000,0.000000,1.600000,2.000000,0.000000,0.000000,0.000000
0.020000,1.636000,0.000000,1.640000,2.000000,0.000000,0.000000,0.000000
0.020000,1.676000,0.000000,1.680000,2.000000,0.000000,0.000000,0.000000
0.020000,1.716000,0.000000,1.720000,2.000000,0.000000,0.000000,0.000000
0.020000,1.756000,0.000000,1.760000,2.000000,0.000000,0.000000,0.000000
0.020000,1.796000,0.000000,1.800000,2.000000,0.000000,0.000000,0.000000
0.020000,1.836000,0.000000,1.840000,2.000000,0.000000,0.000000,0.000000
0.020000,1.876000,0.000000,1.880000,2.000000,0.000000,0.000000,0.000000
0.020000,1.916000,0.000000,1.920000,2.000000,0.000000,0.000000,0.000000
0.020000,1.956000,0.000000,1.960000,2.000000,0.000000,0.000000,0.000000
0.020000,1.996000,0.000000,2.000000,2.000000,0.000000,0.000000,0.000000
0.020000,2.036000,0.000000,2.040000,2.000000,0.000000,0.000000,0.000000
0.020000,2.076000,0.000000,2.080000,2.000000,0.000000,0.000000,0.000000
0.020000,2.116000,0.000000,2.120000,2.000000,0.000000,0.000000,0.000000
0.020000,2.156000,0.000000,2.160000,2.000000,0.000000,0.000000,0.000000
0.020000,2.196000,0.000000,2.200000,2.000000,0.000000,0.000000,0.000000
0.020000,2.236000,0.000000,2.240000,2.000000,0.000000,0.000000,0.000000
0.020000,2.276000,0.000000,2.280000,2.000000,0.000000,0.000000,0.000000
0.020000,2.316000,0.000000,2.320000,2.000000,0.000000,0.000000,0.000000
0.020000,2.356000,0.000000,2.360000,2.000000,0.000000,0.000000,0.000000
0.020000,2.396000,0.000000,2.400000,2.000000,0.000000,0.000000,0.000000
0.020000,2.436000,0.000000,2.440000,2.000000,0.000000,0.000000,0.000000
0.020000,2.476000,0.000000,2.480000,2.000000,0.000000,0.000000,0.000000
0.020000,2.516000,0.000000,2.520000,2.000000,0.000000,0.000000,0.000000
0.020000,2.556000,0.000000,2.560000,2.000000,0.000000,0.000000,0.000000
0.020000,2.596000,0.000000,2.600000,2.000000,0.000000,0.000000,0.000000
0.020000,2.636000,0.000000,2.640000,2.000000,0.000000,0.000000,0.000000
0.020000,2.676000,0.000000,2.680000,2.000000,0.000000,0.000000,0.000000
0.020000,2.716000,0.000000,2.720000,2.000000,0.000000,0.000000,0.000000
0.020000,2.756000,0.000000,2.760000,2.000000,0.000000,0.000000,0.000000
0.020000,2.796000,0.000000,2.800000,2.000000,0.000000,0.000000,0.000000
0.020000,2.836000,0.000000,2.840000,2.000000,0.000000,0.000000,0.000000
0.020000,2.876000,0.000000,2.880000,2.000000,0.000000,0.000000,0.000000
0.020000,2.916000,0.000000,2.920000,2.000000,0.000000,0.000000,0.000000
0.020000,2.956000,0.000000,2.960000,2.000000,0.000000,0.000000,0.000000
0.020000,2.996000,0.000000,3.000000,2.000000,0.000000,0.000000,0.000000
0.020000,3.036000,0.000000,3.040000,2.000000,0.000000,0.000000,0.000000
0.020000,3.076000,0.000000,3.080000,2.000000,0.000000,0.000000,0.000000
0.020000,3.116000,0.000000,3.120000,2.000000,0.000000,0.000000,0.000000
0.020000,3.156000,0.000000,3.160000,2.000000,0.000000,0.000000,0.000000
0.020000,3.196000,0.000000,3.200000,2.000000,0.000000,0.000000,0.000000
0.020000,3.236000,0.000000,3.240000,2.000000,0.000000,0.000000,0.000000
0.020000,3.276000,0.000000,3.280000,2.000000,0.000000,0.000000,0.000000
0.020000,3.316000,0.000000,3.320000,2.000000,0.000000,0.000000,0.000000
0.020000,3.356000,0.000000,3.360000,2.000000,0.000000,0.000000,0.000000
0.020000,3.396000,0.000000,3.400000,2.000000,0.000000,0.000000,0.000000
0.020000,3.436000,0.000000,3.440000,2.000000,0.000000,0.000000,0.000000
0.020000,3.476000,0.000000,3.480000,2.000000,0.000000,0.000000,0.000000
0.020000,3.516000,0.000000,3.520000,2.000000,0.000000,0.000000,0.000000
0.020000,3.556000,0.000000,3.560000,2.000000,0.000000,0.000000,0.000000
0.020000,3.596000,0.000000,3.600000,2.000000,0.000000,0.000000,0.000000
0.020000,3.636000,0.000000,3.640000,2.000000,0.000000,0.000000,0.000000
0.020000,3.675769,0.000000,3.679769,1.976923,-1.153846,-57.692308,0.000000
0.020000,3.714821,0.000000,3.718821,1.928205,-2.435897,-64.102564,0.000000
0.020000,3.752641,0.000000,3.756641,1.853846,-3.717949,-64.102564,0.000000
0.020000,3.788718,0.000000,3.792718,1.753846,-5.000000,-64.102564,0.000000
0.020000,3.822538,0.000000,3.826538,1.628205,-6.282051,-64.102564,0.000000
0.020000,3.853590,0.000000,3.857590,1.476923,-7.564103,-64.102564,0.000000
