dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.002427,-0.999997,0.000256,0.025641,1.282051,64.102564,6.280758
0.020000,-0.002121,-0.999998,0.000563,0.015309,-0.516613,-89.933222,6.281064
0.020000,-0.001432,-0.999999,0.001252,0.034450,0.957041,73.682724,6.281753
0.020000,-0.000207,-1.000000,0.002477,0.061260,1.340533,19.174589,6.282979
0.020000,0.007429,-0.999994,0.010112,0.381777,16.025820,734.264365,0.001710
0.020000,0.019423,-0.999957,0.022107,0.599733,10.897796,-256.401239,0.004474
0.020000,0.035426,-0.999855,0.038110,0.800149,10.020832,-43.848199,0.008169
0.020000,0.055443,-0.999646,0.058128,1.000893,10.037179,0.817350,0.012803
0.020000,0.079485,-0.999271,0.082173,1.202240,10.067378,1.509970,0.018385
0.020000,0.107557,-0.998663,0.110252,1.403968,10.086398,0.950977,0.024927
0.020000,0.139674,-0.997741,0.142381,1.606466,10.124862,1.923221,0.032441
0.020000,0.175841,-0.996414,0.178573,1.809598,10.156632,1.588507,0.040940
0.020000,0.216065,-0.994575,0.218839,2.013298,10.184991,1.417936,0.050438
0.020000,0.260018,-0.992126,0.262860,2.201054,9.387779,-39.860612,0.060869
0.020000,0.307027,-0.988997,0.309973,2.355639,7.729254,-82.926244,0.072084
0.020000,0.356413,-0.985137,0.359510,2.476825,6.059311,-83.497132,0.083929
0.020000,0.407494,-0.980523,0.410799,2.564465,4.382017,-83.864698,0.096245
0.020000,0.459585,-0.975162,0.463165,2.618293,2.691390,-84.531345,0.108868
0.020000,0.511996,-0.969095,0.515926,2.638048,0.987736,-85.182707,0.121629
0.020000,0.564373,-0.962352,0.568735,2.640487,0.121964,-43.288604,0.134439
0.020000,0.616699,-0.954932,0.621585,2.642486,0.099947,-1.100847,0.147289
0.020000,0.668956,-0.946835,0.674466,2.644032,0.077291,-1.132779,0.160170
0.020000,0.721126,-0.938061,0.727368,2.645114,0.054087,-1.160224,0.173072
0.020000,0.773190,-0.928612,0.780282,2.645722,0.030427,-1.182997,0.185987
0.020000,0.825130,-0.918492,0.833199,2.645850,0.006408,-1.200953,0.198905
0.020000,0.876928,-0.907702,0.886109,2.645495,-0.017763,-1.208549,0.211816
0.020000,0.928568,-0.896249,0.939004,2.644720,-0.038739,-1.048780,0.224710
0.020000,0.980029,-0.884137,0.991871,2.643382,-0.066933,-1.409707,0.237578
0.020000,1.031296,-0.871374,1.044702,2.641552,-0.091452,-1.225977,0.250409
0.020000,1.082349,-0.857967,1.097487,2.639236,-0.115830,-1.218886,0.263195
0.020000,1.133175,-0.843924,1.150217,2.636503,-0.136639,-1.040456,0.275925
0.020000,1.183756,-0.829256,1.202882,2.633230,-0.163655,-1.350813,0.288590
0.020000,1.234075,-0.813971,1.255471,2.629479,-0.187531,-1.193776,0.301180
0.020000,1.284119,-0.798082,1.307978,2.625309,-0.208521,-1.049514,0.313687
0.020000,1.333874,-0.781600,1.360391,2.620677,-0.231610,-1.154430,0.326100
0.020000,1.383324,-0.764536,1.412703,2.615579,-0.254904,-1.164701,0.338413
0.020000,1.432459,-0.746905,1.464905,2.610097,-0.274078,-0.958695,0.350615
0.020000,1.481265,-0.728720,1.516988,2.604190,-0.295376,-1.064891,0.362699
0.020000,1.529731,-0.709995,1.568946,2.597872,-0.315890,-1.025736,0.374657
0.020000,1.577847,-0.690745,1.620770,2.591225,-0.332361,-0.823549,0.386482
0.020000,1.625604,-0.670984,1.672454,2.584181,-0.352201,-0.991982,0.398166
0.020000,1.672992,-0.650728,1.723990,2.576812,-0.368412,-0.810575,0.409702
0.020000,1.720005,-0.629992,1.775373,2.569135,-0.383842,-0.771498,0.421085
0.020000,1.766635,-0.608792,1.826596,2.561141,-0.399745,-0.795149,0.432308
0.020000,1.812876,-0.587144,1.877654,2.552890,-0.412517,-0.638572,0.443366
0.020000,1.858724,-0.565063,1.928541,2.544364,-0.426304,-0.689362,0.454254
0.020000,1.904173,-0.542567,1.979253,2.535607,-0.437859,-0.577769,0.464966
0.020000,1.949221,-0.519671,2.029786,2.526632,-0.448737,-0.543864,0.475499
0.020000,1.993864,-0.496390,2.080135,2.517456,-0.458830,-0.504684,0.485849
0.020000,2.038101,-0.472740,2.130297,2.508103,-0.467609,-0.438911,0.496011
0.020000,2.081932,-0.448738,2.180269,2.498589,-0.475715,-0.405309,0.505983
0.020000,2.125354,-0.424399,2.230047,2.488932,-0.482855,-0.357033,0.515762
0.020000,2.168369,-0.399738,2.279630,2.479152,-0.489022,-0.308337,0.525345
0.020000,2.210978,-0.374770,2.329016,2.469265,-0.494307,-0.264237,0.534731
0.020000,2.253182,-0.349510,2.378201,2.459282,-0.499194,-0.244380,0.543916
0.020000,2.294983,-0.323972,2.427186,2.449233,-0.502433,-0.161921,0.552901
0.020000,2.336383,-0.298171,2.475968,2.439109,-0.506176,-0.187131,0.561684
0.020000,2.377387,-0.272121,2.524547,2.428950,-0.507963,-0.089398,0.570263
0.020000,2.417997,-0.245834,2.572922,2.418754,-0.509815,-0.092583,0.578638
0.020000,2.458217,-0.219325,2.621093,2.408528,-0.511289,-0.073707,0.586809
0.020000,2.498053,-0.192607,2.669059,2.398307,-0.511042,0.012384,0.594775
0.020000,2.537508,-0.165691,2.716820,2.388066,-0.512085,-0.052174,0.602536
0.020000,2.576587,-0.138591,2.764377,2.377849,-0.510818,0.063351,0.610093
0.020000,2.615297,-0.111317,2.811730,2.367651,-0.509932,0.044293,0.617447
0.020000,2.653643,-0.083882,2.858879,2.357462,-0.509431,0.025068,0.624596
0.020000,2.691630,-0.056296,2.905826,2.347329,-0.506668,0.138158,0.631543
0.020000,2.729264,-0.028571,2.952570,2.337221,-0.505402,0.063301,0.638287
0.020000,2.766553,-0.000717,2.999114,2.327159,-0.503071,0.116517,0.644830
0.020000,2.803501,0.027256,3.045457,2.317162,-0.499853,0.160918,0.651174
0.020000,2.840116,0.055338,3.091601,2.307200,-0.498108,0.087257,0.657318
0.020000,2.876405,0.083519,3.137547,2.297309,-0.494538,0.178487,0.663264
0.020000,2.912374,0.111791,3.183297,2.287488,-0.491047,0.174549,0.669014
0.020000,2.948029,0.140144,3.228851,2.277711,-0.488879,0.108412,0.674568
0.020000,2.983378,0.168570,3.274211,2.268016,-0.484721,0.207914,0.679929
0.020000,3.018427,0.197060,3.319379,2.258395,-0.481036,0.184221,0.685096
0.020000,3.053184,0.225605,3.364356,2.248826,-0.478462,0.128701,0.690073
0.020000,3.087655,0.254199,3.409142,2.239339,-0.474337,0.206233,0.694860
